Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Tower Bersama Group,https://www.crunchbase.com/organization/tower-bersama-group,"Infrastructure, Telecommunications","Kedoya Selatan, Jakarta Raya, Indonesia",Tower Bersama Group is one of the largest independent tower companies (ITC) in Indonesia.,"473,327",Active,2004-01-01,year,,,,,For Profit,http://www.tower-bersama.com/,"Tower Bersama Group is one of the largest independent tower companies (ITC) in Indonesia. PT Tower Bersama Infrastructure Tbk (""TBIG"") is the holding company of the Tower Bersama Group. TBIG was established in 2004 and was listed on the Indonesia Stock Exchange on October 26, 2010. Tower Bersama Group is one of the two leading independent tower companies in Indonesia. Our principal business is leasing space for antennas and other equipment for wireless signal transmission at tower sites under long-term lease agreements.  We also provide telecommunications operators with access to our Distributed Antenna System (""DAS"") networks in shopping malls and office buildings in major urban areas.",,,USD,
ICUBE,https://www.crunchbase.com/organization/icubeonline,"Consulting, E-Commerce","Jakarta, Jakarta Raya, Indonesia","iCube is an eCommerce agency that helps us to evaluate our current business, identify opportunities, define requirements.","473,978",Active,2003-01-01,year,2020-04-01,month,,,For Profit,https://www.icubeonline.com/,,M&A,,,
PT Graha Layar Prima Tbk,https://www.crunchbase.com/organization/pt-graha-layar-prima-tbk,Media and Entertainment,"Jakarta, Jakarta Raya, Indonesia",CJ CGV is a cinema chain that offers food and beverages.,"478,980",Active,2004-01-01,year,2014-04-10,day,,,For Profit,http://www.cgv.id,"CJ CGV is a cinema theater. They serve the movie, film, and entertainment sectors. It also provides space for music and dance performances, corporate meetings, gatherings, and a platform for creation and self-expression. Their auditorium is also equipped with audio-visual technology with sound resonance results.",IPO,,,
Bullseye,https://www.crunchbase.com/organization/bullseye-ceae,"Advertising, Digital Marketing, Professional Services, Web Development","Denpasar, Bali, Indonesia","Bullseye specializes in website development, app development, digital campaign, and digital marketing services.","479,286",Active,2000-01-01,year,,,,,For Profit,https://www.bullseye-digital.com,,,,,
Soegee Futures,https://www.crunchbase.com/organization/soegee-futures,"Financial Services, Information Technology, Mobile Apps, Trading Platform","Jakarta, Jakarta Raya, Indonesia",Soegee Futures is a brokerage company that offers foreign stock and asset trading services.,"479,624",Active,2000-01-01,year,,,,,For Profit,https://soegeefutures.com,,,,,
Mora Telematika Indonesia,https://www.crunchbase.com/organization/mora-telematika-indonesia,"Information and Communications Technology (ICT), Telecommunications, Wired Telecommunications","Jakarta, Jakarta Raya, Indonesia",Mora Telematika Indonesia is a telecommunications company located in Jakarta.,"481,668",Active,2000-01-01,day,,,,,For Profit,http://www.moratelindo.co.id/,,,,,
PT Transportation Jakarta,https://www.crunchbase.com/organization/transportasi-jakarta,"Sustainability, Transportation","Jakarta, Jakarta Raya, Indonesia","PT Transportation Jakarta is a responsibility to the community members to be able to provide social, economic, and environmental benefits.","483,125",Active,2004-01-01,year,,,,,For Profit,https://transjakarta.co.id,,,,,
Mandiri Sekuritas,https://www.crunchbase.com/organization/mandiri-sekuritas,"Advice, Banking, Financial Services","Jakarta, Jakarta Raya, Indonesia","Mandiri Sekuritas offers capital market, investment banking, and investment management services.","483,799",Active,2000-01-01,year,,,,,For Profit,https://www.mandirisekuritas.co.id,,,,,
Mandiri Investasi,https://www.crunchbase.com/organization/mandiri-investasi,"Finance, Financial Services, Professional Services","Dki Jakarta, Jakarta Raya, Indonesia",Mandiri Investasi is an investment management company that provides services in mutual funds and capital marketing.,"492,193",Active,2004-01-01,year,,,,,For Profit,https://mandiri-investasi.co.id,,,,,
Integrity Asia,https://www.crunchbase.com/organization/integrity-asia,"Business Development, Management Consulting, Risk Management","Jakarta, Jakarta Raya, Indonesia","Integrity Asia is a business consulting agency that specializes in risk management, detection, and fraud investigation services.","496,748",Active,2001-01-01,year,,,,,For Profit,http://www.integrity-asia.com,,,,,
Samora Group Indonesia,https://www.crunchbase.com/organization/samora-group-indonesia,"Agriculture, Food Delivery, Industrial","Jakarta, Jakarta Raya, Indonesia","Samora Group Indonesia is an industrial company that provides quality seeds, germplasm, and agri plantation services for various clients.","497,175",Active,2003-01-01,year,,,,,For Profit,https://www.samoragroup.co.id/,,,,,
SSCX,https://www.crunchbase.com/organization/sscx,"Consulting, Corporate Training, Project Management","Jakarta, Jakarta Raya, Indonesia","SSCX is a business consulting firm that offers lean six sigma, productivity improvement, business process improvement, and training.","497,424",Active,2004-01-01,year,,,,,For Profit,https://sscxinternational.com/,,,,,
PT. Smart Milenium Effisiensi,https://www.crunchbase.com/organization/pt-smart-milenium-effisiensi,"Call Center, Consulting, Information Technology, Mobile Advertising, Outsourcing, Telecommunications, VoIP","Jakarta, Jakarta Raya, Indonesia",PT. Smart Millennium Effisiensi is a company engaged in Telecommunications IT Services.,"499,081",Active,2002-01-01,year,,,,,For Profit,https://www.smartme.co.id,,,,,
PT. Surya Prima Eltrindo,https://www.crunchbase.com/organization/pt-surya-prima-eltrindo,"Electrical Distribution, Electronics, Manufacturing","Cengkareng, Jakarta Raya, Indonesia","PT. Surya Prima Eltrindo is an electrical/electronic manufacturing company offering power connectors, testing services, and more.","500,432",Active,2002-01-01,year,,,,,For Profit,https://www.suryaprimaeltrindo.com,,,,,
Cipta Satria Informatika,https://www.crunchbase.com/organization/cipta-satria-informatika,"Information Technology, Network Security, Professional Services","Jakarta, Jakarta Raya, Indonesia","Cipta Satria Informatika specializes in network infrastructure, architecture, engineering and professional services.","507,708",Active,2004-01-01,year,,,,,For Profit,https://ciptasatria.com,,,,,
MG Group,https://www.crunchbase.com/organization/mg-group-df75,"B2B, Hospitality, Marketplace","Jakarta Pusat, Jakarta Raya, Indonesia",MG Group is a B2B hospitality marketplace that connects buyers and sellers of travel products and services.,"516,464",Active,2000-01-01,year,,,,,For Profit,https://www.mgholidaygroup.com ,,,,,
Lintas Teknologi,https://www.crunchbase.com/organization/lintas-teknologi,"Computer, Information Technology, Software, Telecommunications","Jakarta, Jakarta Raya, Indonesia",Lintas Teknologi is System Integrator Company that established on August 2001 by the former leadership team of Lucent Indonesia.,"529,581",Active,2001-08-01,month,,,,,For Profit,https://www.lt-indonesia.com,,,,,
GMF AeroAsia,https://www.crunchbase.com/organization/gmf-aeroasia,Trading Platform,"Tangerang, Jawa Barat, Indonesia",AeroAsia originated as the Technical Division of Garuda Indonesia Airlines,"531,393",Active,2002-01-01,year,,,,,For Profit,http://www.gmf-aeroasia.co.id/,"Starting out in 1949, GMF AeroAsia originated as the Technical Division of Garuda Indonesia Airlines at the Kemayoran and Halim Perdanakusuma airports in Jakarta, Indonesia. Back in 1984, GMF AeroAsia relocated to Soekarno Hatta International Airport and rebranded itself as the Division of Maintenance & Engineering (M&E), which developed into an outright independent business unit. Subsequently, in 1998 the Maintenance & Engineering Division transformed itself into the Strategic Business Unit (SBU-GMF), which handles all of Garuda Indonesia's fleet maintenance activities, thus honing its competitive edge. Eventually in 2002 SBU-GMF was spun off from Garuda Indonesia, and officially became an independent subsidiary under the name of PT Garuda Maintenance Facility AeroAsia. Furthermore, GMF AeroAsia is now rightly considered as one of the best and largest aircraft maintenance companies in the region as well as being the customer's MRO provider of choice in 2015.",,,,
PT Pertamina Training & Consulting,https://www.crunchbase.com/organization/pt-pertamina-training-consulting,"Consulting, Human Resources, Training","Jakarta, Jakarta Raya, Indonesia","PT Pertamina Training & Consulting is a developing human resource through training, consulting, and human capital management solutions.","536,567",Active,2002-01-01,year,,,,,For Profit,https://www.pertamina-ptc.com,,,,,
Mega Baja,https://www.crunchbase.com/organization/mega-baja,"Building Material, Construction, Retail, Wholesale","Jakarta, Jakarta Raya, Indonesia",Mega Baja is an Iron and Steel Distributor which currently has more than 100 branches spread across Indonesia,"543,066",Active,2001-04-11,day,,,,,For Profit,https://www.megabaja.co.id/,"Welcome to Mega Baja, your premier partner in the iron and steel distribution industry. We are proud to offer one-stop solutions to your construction material needs, ensuring top quality, reliable service and high customer satisfaction. As a leading distributor, we are ready to meet your demands with a complete collection of high quality iron and steel products from trusted manufacturers around the world. With years of experience, friendly customer service, and commitment to quality, Mega Baja is here to be your trusted partner.",,,,
PT Sariguna Primatirta,https://www.crunchbase.com/organization/pt-sariguna-primatirta,"Consumer Goods, Food and Beverage, Manufacturing, Water","Sidoarjo, Jawa Timur, Indonesia",PT Sariguna Primatirta is a producer and seller of bottled water.,"552,242",Active,2003-01-01,year,2017-05-05,day,,,For Profit,http://www.tanobel.com,"PT Sariguna Primatirta is a manufacturer of quality beverage products. Their including raw materials, packing cups, bottles, and gallons, as well as finished products and receive to food safety management. Their bottled drinking water service to customers.",IPO,,,
Sriwijaya Air,https://www.crunchbase.com/organization/sriwijaya-air,"Air Transportation, Freight Service, Ticketing, Transportation","Tangerang, Jawa Barat, Indonesia",Sriwijaya Air is an Indonesian domestic airline that flies to over 55 destinations providing passenger and freight transportation services.,"553,962",Active,2003-11-10,day,,,,,For Profit,https://www.sriwijayaair.co.id/,,,,,
"Collega Inti Pratama, PT",https://www.crunchbase.com/organization/collega-inti-pratama-pt,"Banking, Information Technology, Software","Jakarta, Jakarta Raya, Indonesia","Collega Inti Pratama, PT is a national IT company that contributes to developing Information Technology for Banking and Finance.","559,951",Active,2001-02-03,day,,,,,For Profit,https://www.collega.co.id,,,,,
CF Forex,https://www.crunchbase.com/organization/cf-forex,"Finance, Financial Exchanges, Software, Trading Platform","Dki Jakarta, Jakarta Raya, Indonesia",Cyber ​​Futures Forex is a brokerage company.,"560,857",Active,2004-01-01,year,,,,,For Profit,https://www.cfforex.com,"CF forex provides trading financial derivative futures, Jakarta Futures Exchange and the Indonesian Futures Clearing House. They also provide hang seng index, foreign exchange, loco london gold and multilateral commodities. They provides mobile trading, mt4, and technology.",,,,
Salvus Inti,https://www.crunchbase.com/organization/salvus-inti,"Advice, Commercial Insurance, Consulting, Health Insurance, Insurance, Life Insurance, Property Insurance","Jakarta, Jakarta Raya, Indonesia",Salvus Inti provides insurance and investment advisory services.,"560,937",Active,2004-01-01,year,,,,,For Profit,https://salvus.co.id,"Salvus operates as a licensed insurance broker, providing a range of insurance services. The company offers its services under the supervision of the Indonesia Financial. Salvus is committed to delivering investment advisory services that extend beyond traditional financial advising. The company also provides opportunities for job seekers, inviting them to join their journey by sending their resumes for potential employment opportunities.",,,,
Paydia Indonesia,https://www.crunchbase.com/organization/paydia-indonesia,"Banking, Financial Services","Jakarta, Jakarta Raya, Indonesia","Paydia Indonesia provides digital payment solutions like payments, transferring funds, payroll disbursement and simplifying business payment","561,098",Active,2002-01-01,year,,,,,For Profit,https://paydia.id,,,,,
PT. Simex Pharmaceutical Indonesia,https://www.crunchbase.com/organization/pt-simex-pharmaceutical-indonesia,"Manufacturing, Medical, Pharmaceutical","Jakarta, Jakarta Raya, Indonesia",PT. Simex Pharmaceutical Indonesia is a manufacturer of medicinal products and health supplements.,"564,597",Active,2000-12-08,day,,,,,For Profit,https://simex.co.id,,,,,
AGRIM,https://www.crunchbase.com/organization/agrim,"Food and Beverage, Grocery, Packaging Services","Medan, Sumatera Utara, Indonesia","AGRIM specializes in the processing, drying, packing, and exporting of cloves, clove stems, nutmeg, mace, long pepper, and black pepper.","564,963",Active,2004-01-01,year,,,,,For Profit,http://www.agrimltd.com,,,,,
Velo Networks,https://www.crunchbase.com/organization/velo-networks,"Internet, Telecommunications, Wireless","Jakarta, Jakarta Raya, Indonesia","Velo Networks is substantiated by a redundant network in every way, including a domestic Internet connection, and a redundant local loop.","567,837",Active,2001-01-01,year,,,,,For Profit,https://velo.co.id/,,,,,
Mitramas Infosys Global,https://www.crunchbase.com/organization/mitramas-infosys-global,"Financial Services, Information Technology","Jakarta, Jakarta Raya, Indonesia",Mitramas Infosys Global is a financial services company located in Jakarta.,"569,811",Active,2003-01-01,year,,,,,For Profit,http://mitrasolusi.group/,,,,,
PT. Saka Tehnik Utama,https://www.crunchbase.com/organization/pt-saka-tehnik-utama,"Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing","Lippocikarang, Jawa Barat, Indonesia","PT. Saka Tehnik Utama provides service and repair of the drill string, elevator, accumulator, bop, x-mas tree, and instrumentation.","573,591",Active,2003-01-01,month,,,,,For Profit,https://www.sakatehnikutama.com,,,,,
Adira Insurance,https://www.crunchbase.com/organization/adira-insurance,"Health Insurance, Insurance","Jakarta, Jakarta Raya, Indonesia",Adira Insurance is a company licensed to transact general insurance business.,"576,751",Active,2002-01-01,year,2018-09-27,day,,,For Profit,https://asuransiadira.com/,"Adira Insurance operates as a general insurance company. It offers wide range of insurance facilities including motor vehicle insurance, non-motor vehicle insurance, health, personal accident, property, heavy equipment, vessel, and engineering insurance.",M&A,,,
Thaikila,https://www.crunchbase.com/organization/thaikila,"E-Commerce, Fashion, Wholesale","Denpasar, Bali, Indonesia","Thaikila is a pioneering holistic manufacturer, franchiser, retailer, and brand ambassador of cutting-edge swimwear and fashion bikinis.","578,751",Active,2002-01-01,year,,,,,For Profit,https://www.thaikila.com,,,,,
lantai kayu indonesia,https://www.crunchbase.com/organization/lantai-kayu-indonesia-2,"Industrial, Manufacturing","Denpasar, Bali, Indonesia","lantai kayu Indonesia is a manufacturing company that focuses on building wooden products, flooring, decking, and more.","580,669",Active,2003-02-19,day,,,,,For Profit,http://www.lantaikayu.biz/,"manufacture company engaged handle home decorating interior and exterior use of wood flooring , wooden decking , wooden ceiling",,,,
Valdo,https://www.crunchbase.com/organization/valdo,Finance,"Jakarta, Jakarta Raya, Indonesia","Valdo is a Six Sigma Management Service Company founded in 2002, focusing help businesses manage & re-engineer business processes.","580,951",Active,2002-01-01,year,,,,,For Profit,https://www.valdoinc.com,,,,,
YOU.C1000,https://www.crunchbase.com/organization/you-c1000,"Brewing, Dietary Supplements, Food and Beverage, Manufacturing","Jalan, Yogyakarta, Indonesia",YOU.C1000 is a food and beverage company that produces and provides health drinks.,"582,929",Active,2004-01-01,year,,,,,For Profit,https://youc1000.com,,,,,
ASI Asia Pacific,https://www.crunchbase.com/organization/asi-asia-pacific,"Human Resources, Skill Assessment","Jakarta, Jakarta Raya, Indonesia",ASI Asia Pacific is a human resources company located in Jalan.,"583,093",Active,2001-01-01,day,,,,,For Profit,https://asi-asiapacific.com/,,,,,
Sampoerna Schools System,https://www.crunchbase.com/organization/sampoerna-schools-system,"Education, Higher Education, Primary Education, Secondary Education","Surabaya, Jawa Timur, Indonesia",Sampoerna Schools System provides educational services.,"595,697",Active,2001-01-01,year,,,,,For Profit,https://www.sampoernaschoolssystem.com,"Sampoerna Schools System is Indonesia’s most comprehensive, integrated educational pathway from early childhood to university. Their schools offer an internationally-recognized curriculum and the opportunity to earn globally-recognized credentials and degrees that open a world of possibilities for their graduates. They hire the best teachers and lecturers from all over the world to empower students to succeed at a high level in their educational and social development. Sampoerna Schools are among the fastest-growing international schools in Indonesia. This reflects the proof of concept in their approach to teaching and learning.",,,,
Jaya Proteksindo Sakti,https://www.crunchbase.com/organization/jaya-proteksindo-sakti,"Auto Insurance, Financial Services, Health Care, Health Insurance, Insurance, Property Insurance","Jakarta Pusat, Jakarta Raya, Indonesia","Jaya Proteksindo Sakti is an insurance company that provides property, marine, engineering, motor vehicle, and health insurance services.","596,429",Active,2001-01-02,day,,,,,For Profit,https://jayaproteksindo.co.id,,,,,
Dipo Group,https://www.crunchbase.com/organization/dipo-group,"Automotive, Rental","Jakarta, Jakarta Raya, Indonesia",Dipo Group is a car dealer and rental company.,"596,537",Active,2003-01-01,day,2019-12-18,day,,,For Profit,https://www.ptpmj.co.id,"Dipo Group sells and services automobiles, including repairs and maintenance. They provide four wheeled vehicle rental services. They also offer e-commerce services.",IPO,,,
PT AXA Mandiri Financial Services,https://www.crunchbase.com/organization/pt-axa-mandiri-financial-services,"Consulting, Financial Services, Health Care, Insurance","Dki Jakarta, Jakarta Raya, Indonesia","PT AXA Mandiri Financial Services is an insurance agency that offers life, health, accident, illness and claims submission services.","610,993",Active,2004-01-01,year,,,,,For Profit,https://axa-mandiri.co.id,,,,,
Indo Premier Securities,https://www.crunchbase.com/organization/indo-premier-securities,Financial Services,"Jakarta, Jakarta Raya, Indonesia",Indo Premier is an integrated financial services provider company in the capital market that serves individual & corporate clients.,"612,614",Active,2002-01-01,year,,,,,For Profit,https://indopremier.com,,,,,
Perusahaan Pengelola Aset,https://www.crunchbase.com/organization/perusahaan-pengelola-aset,"Asset Management, Consulting, Financial Services","Jakarta, Jakarta Raya, Indonesia","Perusahaan Pengelola Aset specializes in restructuring, asset management, financing, investment, and advisory services.","616,657",Active,2004-01-01,year,,,,,For Profit,https://www.ptppa.com/,,,,,
Manado Independent School,https://www.crunchbase.com/organization/manado-independent-school,"Education, Higher Education, Primary Education, Secondary Education","Makassar, Sulawesi Selatan, Indonesia",Manado Independent School is a private christian institution offering education from kindergarten through senior high school.,"621,868",Active,2001-01-01,year,,,,,For Profit,http://mis-mdo.sch.id/,"Manado Independent School has one kindergarten school, one elementary school, one middle school and one high school.",,,,
Tiara Marga Trakindo,https://www.crunchbase.com/organization/tiara-marga-trakindo,"Energy, Finance, Information Technology, Retail","Jakarta, Jakarta Raya, Indonesia","Tiara Marga Trakindo engages in the business of heavy equipment products, energy, consumer retail, and information technology.","626,139",Active,2000-08-16,day,,,,,For Profit,https://tiaramarga.co.id,,,,,
PT Insight Investment Management,https://www.crunchbase.com/organization/pt-insight-investment-management,,"Jakarta, Jakarta Raya, Indonesia",PT Insight Investments Management aims to help customers achieve their financial goals.,"630,667",Active,2003-01-01,year,,,,,For Profit,http://i-invest.co.id,"PT Insight Investments Management aims to help customers achieve their financial goals. The company manages conventional mutual funds such as I-MONEY FUND (Money Market fund), I-RENEWABLE (Fixed Income Funds), I-SHARE (Mixed Funds), and I-GOVT (Fixed income with infrastructure theme) as well as I-WEALTH (Value Equity Funds). PT Insight Investments Management was founded in 2003 and is based in Jakarta Selatan, DKI Jakarta.",,,,
VIAR electricmotor,https://www.crunchbase.com/organization/viar-electricmotor,"Automotive, Car Sharing, Electric Vehicle","Utara, Jawa Timur, Indonesia",VIAR electricmotor is a electric vehicle company located in Utara.,"632,560",Active,2000-01-01,year,,,,,For Profit,https://www.e-viar.com/,,,,,
PT. Tracon Industri,https://www.crunchbase.com/organization/pt-tracon-industri,"Construction, Consulting, Industrial Engineering","Jakarta Pusat, Jakarta Raya, Indonesia","PT. Tracon Industri offers engineering, supply chain, operations, maintenance, plant relocation, consulting, solutions and services.","636,276",Active,2001-01-01,year,,,,,For Profit,https://www.tracon.co.id/,,,,,
Gaido Group,https://www.crunchbase.com/organization/gaido-group,"Service Industry, Tourism","Banten, Jawa Barat, Indonesia","Gaido is a holding company that provides ticketing, domestic tours, international tours, hotel vouchers, land transportation, services.","642,786",Active,2003-02-18,day,,,,,For Profit,https://www.gaidogroup.com/,"Gaido is a holding company that provides ticketing, domestic tours, international tours, hotel vouchers, land transportation, Umrah, and Exclusive Hajj services.",,,,
Gondowangi Tradisional Kosmetika,https://www.crunchbase.com/organization/gondowangi,"Consumer Goods, Cosmetics, Manufacturing","Pulogadung, Jawa Barat, Indonesia",Gondowangi Tradisional Kosmetika manufactures and supplies natural body and hair care products to meet the requirements of the customers.,"649,221",Active,2000-01-01,year,,,,,For Profit,https://gondowangi.com/,,,,,
KMN EyeCare,https://www.crunchbase.com/organization/kmn-eyecare,"Health Care, Hospital","Dki Jakarta, Jakarta Raya, Indonesia",KMN EyeCare presents the best ophthalmologists in Indonesia.,"650,195",Active,2004-01-01,year,,,,,For Profit,https://www.klinikmatanusantara.com,,,,,
Agrodana Futures,https://www.crunchbase.com/organization/agrodana-futures,"Financial Services, Lending, Trading Platform","Jakarta, Jakarta Raya, Indonesia","Agrodana Futures is a trading platform that allows you to trade commodities, forex, and CFD Indices.","651,828",Active,2000-05-01,month,,,,,For Profit,https://agrodana-futures.com/,,,,,
Trinet Prima Solusi,https://www.crunchbase.com/organization/trinet-prima-solusi,"Data Storage, Information Technology, Software","Jakarta, Jakarta Raya, Indonesia",Trinet Prima Solusi is a software company located in Selatan.,"654,725",Active,2002-01-01,day,,,,,For Profit,https://www.trinetprimasolusi.net/,,,,,
Bank Universal BPR,https://www.crunchbase.com/organization/bank-universal-bpr,"Banking, Finance, Financial Services","Bintaro, Jawa Barat, Indonesia",Bank Universal BPR is a banking firm that specializes in banking and financial services.,"661,436",Active,2003-01-01,year,,,,,For Profit,https://universalbpr.co.id,,,,,
PT Talisman Insurance Brokers,https://www.crunchbase.com/organization/pt-talisman-insurance-brokers,"Auto Insurance, Employee Benefits, Insurance, Property Insurance","Jakarta, Jakarta Raya, Indonesia",PT Talisman Insurance Brokers provides specialized insurance brokering service and personalized solutions.,"664,854",Active,2003-01-01,year,,,,,For Profit,https://talisman.co.id,,,,,
BabaStudio,https://www.crunchbase.com/organization/babastudio,"Education, SEO, Training, Web Design","Jakarta, Jakarta Raya, Indonesia",BabaStudio is an educational studio that offers website courses and web development services.,"666,062",Active,2003-01-01,year,,,,,For Profit,https://www.babastudio.com,,,,,
Julia Jewelry,https://www.crunchbase.com/organization/julia-jewelry,"Consumer Goods, Jewelry, Precious Metals","Kedoya Selatan, Jakarta Raya, Indonesia","Julia Jewelry specializes in white gold jewelry with diamonds, offering engagement rings, wedding sets, and more.","666,258",Active,2002-01-01,year,,,,,For Profit,https://juliajewelry.co.id,,,,,
NBO Indonesia,https://www.crunchbase.com/organization/nbo-indonesia,"Consulting, Professional Services, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia","NBO Indonesia provides digital content development, curriculum design, talent management, and customized program solutions.","666,457",Active,2003-01-01,year,,,,,For Profit,https://nboindonesia.com,,,,,
Seiyajapan,https://www.crunchbase.com/organization/seiyajapan,"Consumer Goods, E-Commerce, Retail","Japan, Jawa Tengah, Indonesia",SeiyaJapan is a professional online store that sells high-quality Japanese watches to customers all over the world.,"666,981",Active,2002-12-01,month,,,,,For Profit,https://www.seiyajapan.com/,,,,,
Politeknik Negeri Batam,https://www.crunchbase.com/organization/politeknik-negeri-batam,Education,"Batam, Kepulauan Riau, Indonesia",Politeknik Negeri Batam is a vocational education maagement platform.,"669,842",Active,2000-01-01,year,,,,,For Profit,https://www.polibatam.ac.id,,,,,
Intersoft Solutions,https://www.crunchbase.com/organization/intersoft-solutions,"Developer Tools, Information Technology, Software","Jakarta, Jakarta Raya, Indonesia",Intersoft Solutions is a software company that focuses on providing developers tools to build business applications.,"677,022",Active,2002-01-01,day,,,,,For Profit,http://www.intersoftsolutions.com/,"Intersoft Solutions is a software company that focuses on providing developers tools to build business applications. They provide comprehensive and professional solutions to help achieve business goals quickly while reducing the total cost of ownership. They aim to deliver innovative and advanced components and toolset to help developers create web, desktop, and mobile apps.",,,,
Pt. Harmoni Alta Semesta,https://www.crunchbase.com/organization/pt-harmoni-alta-semesta,"Energy, Industrial, Wholesale","Jakarta, Jakarta Raya, Indonesia",Pt. Harmoni Alta Semesta distributes industrial products for oil and gas industries.,"677,440",Active,2003-06-28,day,,,,,For Profit,https://harmonialta.com,,,,,
Trinity Optima Production,https://www.crunchbase.com/organization/trinity-optima-production,"Brand Marketing, Business Development, Media and Entertainment, Music","Melawai, Jakarta Raya, Indonesia",Trinity Optima Production is a record label and artist management company.,"685,527",Active,2003-06-07,day,,,,,For Profit,https://www.trinityproduction.com,,,,,
Hanoman Cendekia Interaktif,https://www.crunchbase.com/organization/hanoman-cendekia-interaktif,"Information Technology, Software, Web Development","Jakarta, Jakarta Raya, Indonesia",Hanoman Cendekia Interaktif is an IT company that provides solutions related to enterprise application integration.,"688,062",Active,2000-01-01,year,,,,,For Profit,http://www.hanoman.co.id,"Hanoman provides the solution to their clients through implementing viable technology. Hanoman delivers integrated IT solutions. Enterprise application integration, service-oriented architecture, and business rule management system are their core strengths. They provide scalable and reliable middleware and business workflow solution for their clients. They offer a java based message transfer and routing software named UMG, that enables integration amongst legacies through message encoding and decoding.",,,,
Tigaka Distrindo Perkasa,https://www.crunchbase.com/organization/tigaka-distrindo-perkasa,"Health Care, Manufacturing, Personal Health","Jakarta, Jakarta Raya, Indonesia","Tigaka Distrindo Perkasa is a healthcare company that manufactures pharmaceuticals, personal and home care, and food products.","692,116",Active,2000-01-01,year,,,,,For Profit,http://www.pttdp.com,,,,,
Global TV,https://www.crunchbase.com/organization/global-tv,"Broadcasting, News, Sports, Web Hosting","Jakarta, Jakarta Raya, Indonesia","Global TV is a television network that offers sports, entertainment, news, children’s, and other content.","692,685",Closed,2001-01-01,year,,,,none,For Profit,http://globaltv.co.id/,The Global TV Network is an ISP Portal broadcasting in all languages around the world. Their portal has been designed to open in 156 languages in all the top countries. They also stream TV programming in all languages any where in the world for the first worldwide TV broadcasting network.,,,,
Punjabi Grill Bali,https://www.crunchbase.com/organization/punjabi-grill-bali,,"Kuta, Bali, Indonesia",Best Indian Restaurant in Bali,"693,300",Active,2000-01-01,year,,,,,For Profit,https://www.punjabigrillbali.com,"Punjabi Grill is the ultimate destination for food lovers who crave authentic Punjabi cuisine in a stylish and comfortable setting. Our restaurant is in the heart of Bali and offers a unique dining experience that blends traditional Punjabi flavours with modern culinary techniques. Our menu features a wide selection of mouthwatering dishes that are made using the highest-quality ingredients. From our signature Tandoori Chicken and Chicken Biryani to our delicious vegetarian options, we have something for everyone.  All Punjabi Grill restaurants have a warm and inviting atmosphere that is perfect for families, corporate lunches, couples, and groups of friends. We have both indoor and outdoor seating areas, so you can choose to dine in a cosy interior setting or outside under the stars. Whether you are planning a romantic dinner for two, or a fun night with friends, Punjabi Grill is the perfect choice. Come and experience the authentic flavours of Punjab in Bali today!",,,,
Xintesa,https://www.crunchbase.com/organization/xintesa,"Advertising, Digital Marketing, Graphic Design, SEO, Social Media Marketing, Web Development","Jakarta, Jakarta Raya, Indonesia","Xintesa is a digital marketing agency that specializes in website development, graphic design, SEO, and social media advertising services.","703,360",Active,2000-01-01,year,,,,,For Profit,https://www.xintesa.com/,,,,,
Tirta Varia Intipratama,https://www.crunchbase.com/organization/tirta-varia-intipratama,"Food and Beverage, Nutrition, Water, Water Purification","Jakarta, Jakarta Raya, Indonesia",Tirta Varia Intipratama is a bottled drinking water distribution company which supplies bottled drinking water brands AQUA and VIT.,"705,686",Active,2001-07-01,month,,,,,For Profit,https://www.tvip.co.id,We are a bottled drinking water distributor company engaged in the distribution of bottled drinking water with the AQUA and VIT brands. Which has been registered as an official distributor by PT. Tirta Investama (Danone Group).,,,,
Business Intelligence Technologies,https://www.crunchbase.com/organization/business-intelligence-technologies-a0c1,"Business Intelligence, Information Technology, Small and Medium Businesses","Jakarta, Jakarta Raya, Indonesia",Business Intelligence Technologies specializes in business intelligence services.,"712,810",Active,2002-01-01,year,,,,,For Profit,https://www.bizintek.com,,,,,
PT Adicipta Innovation Technology,https://www.crunchbase.com/organization/pt-adicipta-innovation-technology,"Financial Services, Information Technology, Mobile Apps, Software","Dki Jakarta, Jakarta Raya, Indonesia","PT Adicipta Innovation Technology is a firm that deals with IT solution,software,finance & other services.","720,554",Active,2000-01-01,year,,,,,For Profit,https://www.ad-ins.com/,,,,,
Inocycle Technology Group,https://www.crunchbase.com/organization/inocycle-technology-group,"Industrial, Manufacturing, Plastics and Rubber Manufacturing","Tangerang, Jawa Barat, Indonesia",Inocycle Technology Group is a recycled plastic processing company.,"721,992",Active,2001-01-01,day,2019-07-10,day,,,For Profit,https://inocycle.com/,"Inocycle Technology Group is a clean technology company that involves in managing the recycling of PET recycle and other plastic waste. They manufacture recycled polyester staple fiber by processing recycled plastic. Their product categories such as ino-fiber, geotextile, homeware, fiber, and nonwoven.",IPO,,,
