Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Medico,https://www.crunchbase.com/organization/medico,"Information Services, Software","Jakarta, Jakarta Raya, Indonesia",Medico is a hospital management software,"395,105",Active,2004-01-01,year,,,,,For Profit,https://www.medico.id/,"It is understood that Hospital Information System is one of the most complicated, most daunting, most laborious, most costly, and thus most hated projects in a hospital environment. Millions of dollars and hours of labor have been spent dedicated to finding the perfect HIS, and yet the search has been futile. So in the end, hospitals choose to build their own HIS thinking that they have the knowledge and the expertise to do so. So why don’t most hospitals employ this homegrown method, and why increasingly more hospitals see this as a the least viable option? Hospitals are not IT companies. Hospitals do have the inside knowledge of how the workflow should be, but transferring this knowledge into a functional IT system are two different things. Technology keeps changing, and hospitals are not in the forefront to think of these changes, whereas IT companies always consider these technological advancements when building a system. Without a clear technological path ahead, the homegrown system might not be scalable. Over complication. The tendency when a hospital has the all the expertise in its hand is to build an HIS that can cater to all the needs of the administrators, physicians, clinicians, and patients. This can be time-consuming and costly very quickly. With an outside approach looking in, an IT company can focus on establishing priorities and managing inefficients with fresh outlook. This will become more manageable and executable. Lack of focus. With so many things going on in a hospital setting, the hospital’s IT department can be easily inundated with everyday operational tasks and not be focused on building the HIS. This will lead to delays and frustrations. As a software company specifically catering to healthcare providers, MEDICO , can appease the aforementioned problems. We provide scalable, comprehensive, reliable, and affordable system no matter what size your organization is.",Seed,,USD,
Mitra Plumbon Healthcare Group,https://www.crunchbase.com/organization/mitra-plumbon-healthcare-group,"Health Care, Hospital, Medical","Cirebon, Jawa Barat, Indonesia",Mitra Plumbon Healthcare operates high-quality hospitals and healthcare facilities.,"398,354",Active,2003-01-01,year,,,,,For Profit,https://mitraplumbon.com,Mitra Plumbon Healthcare operates high-quality hospitals and healthcare facilities that are supported by competent administration and human resources and are adequately resourced.,Early Stage Venture,,USD,
Jatis Mobile,https://www.crunchbase.com/organization/jatis-mobile,"Advertising, Digital Marketing, Information Services, Information Technology, Mobile, Mobile Apps, Web Development","Jakarta, Jakarta Raya, Indonesia",Jatis Mobile is a digital marketing company located in Jakarta.,"399,845",Active,2003-01-01,day,,,,,For Profit,http://www.jatismobile.com/,,,,,
PT Damai Sejahtera Abadi Tbk,https://www.crunchbase.com/organization/pt-damai-sejahtera-abadi-tbk,"Consumer Goods, Electronics, Retail","Surabaya, Jawa Timur, Indonesia",UFO Elektronika is a retailer of electronics and furniture products.,"400,405",Active,2004-01-01,year,2021-02-01,day,,,For Profit,https://corp.ufoelektronika.com,"UFO Elektronika provides retail services for electronics and furniture products. That products include LED TVs, LCD TVs, plasma TVs, computers, laptops, office equipment, and cell phones. They also offer speaker, home theatre equipment, digital cameras, and electronic kitchen equipment.",IPO,,,
PT Transkon Jaya,https://www.crunchbase.com/organization/pt-transkon-jaya,"Automotive, Rental, Transportation","Balikpapan, Kalimantan Timur, Indonesia","PT Transkon Jaya specialized in vehicle rentals, servicing and maintenance, and parts supply to the mining, oil and construction industries.","403,400",Active,2002-01-01,year,2020-08-27,day,,,For Profit,http://www.transkon-rent.com,"PT Transkon Jaya is a rental business that specializes in providing 4x4 and 4x2 vehicle rentals to the mining, oil and gas, and construction industries. These rentals include light vehicles, light trucks, buses, man hauls, ambulances, service bodies, rescue vehicles, and a wide range of other specialty vehicles. Customers can arrange their demands for trucks, trailers, and trailers with the assistance of the company, which offers top-of-the-line vehicles of the newest generation along with various rental alternatives.",IPO,,,
Doxadigital,https://www.crunchbase.com/organization/doxadigital,"Advertising, Business Intelligence, Information Technology, Marketing, Software","Jakarta, Jakarta Raya, Indonesia",Doxadigital is a creative agency and web consultant that helps businesses optimize their information processes.,"411,050",Active,2002-01-01,day,,,,,For Profit,http://doxadigital.com/,"Doxadigital is a creative agency and web consultant that helps businesses optimize their information processes. It helps companies build brands by building awareness and relationships between consumers and brands in every digital aspect in their lives. Its team capabilities is a collaboration of market research, consumer view, creative design and layout,  technology, and ideas.",,,,
Electronic City Indonesia,https://www.crunchbase.com/organization/electronic-city-indonesia,"Electronics, Retail","Jakarta, Jakarta Raya, Indonesia",Electronic City is an electronic product retail company.,"411,672",Active,2001-01-01,day,2013-07-03,day,,,For Profit,https://www.corp.electronic-city.com/,"Electronic City is an electronic retail store. They offer audio-video, home appliances, IT, mobile phones, cameras, and office equipment. It also launched an e-commerce platform for consumers who prefer to buy products online.",IPO,,,
EMP,https://www.crunchbase.com/organization/emp-1253,"Energy, Oil and Gas","Jakarta, Jakarta Raya, Indonesia",EMP is an oil and natural gas company.,"422,753",Active,2001-01-01,day,2004-06-07,day,,,For Profit,https://www.emp.id/,"EMP offers exploration, development, and production of crude oil, natural gas, and coal bed methane. It is a natural gas supplier for power generation as well as feedstock for industrial needs.",IPO,,,
ORORI,https://www.crunchbase.com/organization/orori,"B2B, E-Commerce, Fashion, Internet, Jewelry","Jakarta, Jakarta Raya, Indonesia",ORORI is the pioneer in online jewelry business in Indonesia.,"427,440",Active,2002-01-01,year,,,,,For Profit,http://orori.com,"ORORI is the pioneer in online jewelry business in India.  On their website, ORORI display as much information and detail as possible so that shoppers can get a very clear information from a variety of types, shapes, and beautiful jewelry ORORI. Dimensions of the products shown on the website are the original dimensions of the product so that you can get ORORI guarantee what you see will be the same as what you will later be able to. Jewelry shopping is made easy and hassle free with just a click. ORORI offers the best quality jewelry over the internet - simple, practical, and certainly very fit with your busy mobility.",Early Stage Venture,,USD,
PT TRANSPORTASI GAS INDONESIA,https://www.crunchbase.com/organization/pt-transportasi-gas-indonesia,"Energy, Oil and Gas, Service Industry","Jakarta, Jakarta Raya, Indonesia",PT TRANSPORTASI GAS INDONESIA provides transportation of natural gas through pipelines to the domestic and international markets.,"429,780",Active,2002-01-01,year,,,,,For Profit,https://tgi.co.id/,,,,,
MG Holiday Group,https://www.crunchbase.com/organization/mg-holiday-group,"Hospitality, Hotel, Marketing","Jakarta Pusat, Jakarta Raya, Indonesia",MG Holiday Group is a hospitality company located in Jakarta Pusat.,"429,839",Active,2000-01-01,day,,,,,For Profit,http://www.mgholiday.com/,,,,,
ATI Business Group,https://www.crunchbase.com/organization/ati-business-group,"CRM, Information Technology","Jakarta, Jakarta Raya, Indonesia",ATI Business Group good reason that the quality of our people is our greatest asset and the cornerstone of our ability to serve our clients.,"442,139",Active,2001-01-01,year,,,,,For Profit,http://www.atibusinessgroup.com,,,,,
Reycom Document Solusi Group,https://www.crunchbase.com/organization/reycom-document-solusi-group,"Business Development, Document Management, Information Services, Information Technology","Jakarta Pusat, Jakarta Raya, Indonesia",Reycom Document Solusi Group provides a wide range of integrated IT-based business management solutions.,"442,987",Active,2003-01-01,year,,,,,For Profit,https://rds.co.id,,,,,
President University,https://www.crunchbase.com/organization/president-university,"Consulting, Education, Higher Education, Recreation, Universities","Bekasi, Jawa Barat, Indonesia","President University is an educational institution that provides learning courses, student activities, and internship opportunities.","447,877",Active,2001-01-01,year,,,,,For Profit,https://president.ac.id/,,,,,
IAF Multi Finance,https://www.crunchbase.com/organization/iaf-multi-finance,"Financial Services, Lending, Personal Finance","Jakarta, Jakarta Raya, Indonesia","IAF Multi Finance is a firm that offers alternative financing, personal loans, lending, and automobile financing.","448,070",Active,2002-10-03,day,,,,,For Profit,http://iaf.co.id/?lang=en,,,,,
Indonusa Dwitama,https://www.crunchbase.com/organization/indonusa-dwitama,"Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",Indonusa Dwitama is a holding company that engages in organizing and developing a broad portfolio of investments.,"450,606",Active,2003-01-01,year,,,,,For Profit,http://indonusadwitama.com/,"Indonusa Dwitama is a holding company that engages in organizing and developing a broad portfolio of investments, including the exploration and exploitation of mining, financial services, interactive multi-media and information technology and trading activities in Indonesia.  Pemengang main stock and visionary leader of the group is Mr. Indonusa. Victor Fungkong.",,,,
Packet Systems Indonesia,https://www.crunchbase.com/organization/packet-systems-indonesia,"Business Information Systems, Cyber Security, Information Technology, Security","Jakarta, Jakarta Raya, Indonesia",Packet Systems Indonesia is a ICT systems integrator and service company.,"450,775",Active,2004-01-01,year,2017-06-20,day,,,For Profit,https://www.packet-systems.com/,"Packet Systems Indonesia (PSI) which commenced operation in 2004 is a leading ICT systems integrator and service company in Indonesia focusing in Virtualization & Convergence, Information Security, and Service Provider IT Services. We strive to be a leading Architect and Enabler in Digital Society by bringing innovations & value to our stakeholders. We are headqurtered in Jakarta and have presence in Surabaya.",M&A,,,
