Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Venture Initiation Program (VIP),https://www.crunchbase.com/organization/penn-wharton-vip,1,1,"Philadelphia, Pennsylvania, United States","University of Pennsylvania's community of 150+ companies in three programs: VIP-C (incubator), VIP-X (accelerator), and VIP-SF (alums).","Accelerator, Co-Working Space, Incubator, University Program",,,"56,973"
Cedar Rapids,https://www.crunchbase.com/organization/cedar-rapids,1,1,"Cedar Rapids, Iowa, United States","Cedar Rapids is an urban hometown that provides residential, art scene, events, housing, rental, building and land development services.",Government Office,,1,"56,784"
Arkansas Development Finance Authority,https://www.crunchbase.com/organization/arkansas-development-finance-authority,5,1,"Little Rock, Arkansas, United States",To provide capital for qualified activities that enhance the quality of life for Arkansans.,Government Office,,3,"56,752"
Siegel Family Endowment,https://www.crunchbase.com/organization/siegel-family-endowment,9,,"New York, New York, United States","Siegel Family Endowment provides support to organizations working at the intersections of learning, workforce, and infrastructure.",Government Office,,9,"56,746"
Pennsylvania Department of Community & Economic Development,https://www.crunchbase.com/organization/pennsylvania-department-of-community-economic-development,5,1,"Harrisburg, Pennsylvania, United States",Pennsylvania Department of Community & Economic Development enables businesses and communities to thrive in a global economy.,Government Office,,4,"56,665"
Future Innovation Fund,https://www.crunchbase.com/organization/future-innovation-fund,4,,,Future Innovation Fund is fund of Abu Dhabi Investment Authority (ADIA).,Government Office,,,"56,616"
Oakland County,https://www.crunchbase.com/organization/oakland-county,1,,"Pontiac, Michigan, United States",Oakland County provide vital services and keep the public and employees safe during the pandemic.,Government Office,,,"56,131"
BDC Healthcare Venture,https://www.crunchbase.com/organization/bdc-healthcare-fund,18,6,"Montréal, Quebec, Canada",The Healthcare Venture Fund invests in transformative Canadian companies working to increase healthcare productivity.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",6,"55,900"
State of Arkansas,https://www.crunchbase.com/organization/state-of-arkansas-0f45,9,,"Little Rock, Arkansas, United States","State of Arkansas is a government organization that offers child support, business, employment, education, and recreational services.",Government Office,,9,"55,862"
University of Missouri Enterprise Investment Program,https://www.crunchbase.com/organization/university-of-missouri-enterprise-investment-program,2,,"Columbia, Missouri, United States",EIP is designed to support Missouri based early-stage high tech start-up companies.,University Program,Seed,1,"55,798"
Prince William County Economic Development,https://www.crunchbase.com/organization/prince-william-county-economic-development,1,,"Gainesville, Virginia, United States",Prince William County Economic Development deals in the economic development of Entrepreneurial Ventures and logistics services.,Government Office,,1,"55,651"
"CoMotion, University of Washington",https://www.crunchbase.com/organization/university-of-washington-c4c,2,,"Seattle, Washington, United States",University of Washington C4C is a company providing commercialization support for the research programs at the University of Washington.,Government Office,,1,"55,524"
China Europe International Business School,https://www.crunchbase.com/organization/china-europe-international-business-school,1,,"Pudong, Shandong, China",CEIBS is a joint-venture for management education and was co-founded by the Chinese government and European Union.,University Program,,,"55,407"
Invest Barbados,https://www.crunchbase.com/organization/invest-barbados,,,"Hastings, Christ Church, Barbados","Invest Barbados is an economic development agency, responsible for attracting, winning and sustaining international investment.",Government Office,,,"55,197"
Illinois Department of Human Service,https://www.crunchbase.com/organization/illinois-department-of-human-service,5,,"Springfield, Illinois, United States",Illinois Department of Human Service is a government administration firm.,Government Office,,5,"55,138"
K-Startup Grand Challenge,https://www.crunchbase.com/organization/k-startup-grand-challenge,17,,"Seongnam, Kyonggi-do, South Korea",K-Startup Grand Challenge is a project conducted and financed by NIPA of South Korea.,"Accelerator, Government Office",Grant,12,"55,109"
Gangwon Technopark,https://www.crunchbase.com/organization/gangwon-technopark,1,,"Chuncheon, Kangwon-do, South Korea",Gangwon Technopark is a government agency that offers industry innovation and technology development services.,Government Office,,1,"55,089"
Ministry of Health Singapore,https://www.crunchbase.com/organization/ministry-of-health-singapore,1,,"Singapore, Central Region, Singapore",The Ministry of Health is a ministry of the Government of Singapore.,Government Office,Grant,,"54,903"
EEP Africa,https://www.crunchbase.com/organization/eep-africa,62,2,"Helsinki, Southern Finland, Finland",EEP Africa provides early stage grant and catalytic debt financing for innovative clean energy projects.,Government Office,,1,"54,887"
MSU Center for Entrepreneurship and Outreach,https://www.crunchbase.com/organization/mississippi-state-university-entrepreneurship-center,10,,"Mississippi State, Mississippi, United States","MSU's Center for Entrepreneurship and Outreach helps students, faculty, and community members start and grow successful companies.",University Program,"Early Stage Venture, Grant, Seed",8,"54,819"
Zurich University of Applied Sciences/ZHAW,https://www.crunchbase.com/organization/zurich-university-of-applied-sciences-zhaw,1,,"Winterthur, Zurich, Switzerland",Zurich University of Applied Sciences/ZHAW is a school.,University Program,,,"54,715"
