Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
La Factoria de Proyectos,https://www.crunchbase.com/organization/la-factoria-de-proyectos,,,"Valladolid, Castilla y Leon, Spain","Selection of ideas, helps in ripening, and pull Contatos portfolio finance.",University Program,,,"226,738"
CSU Management Corporation,https://www.crunchbase.com/organization/csu-management-corporation,,,"Fort Collins, Colorado, United States",CSU Management Corporation has access to Colorado State University’s extensive technical expertise.,University Program,,,"224,975"
BioEmprendedorXXI,https://www.crunchbase.com/organization/bioemprendedorxxi,,,"Barcelona, Catalonia, Spain",Entrepreneurship program in the field of life sciences.,University Program,,,"223,291"
Emprende Con Datos,https://www.crunchbase.com/organization/emprende-con-datos,,,"Bogotá, Distrito Especial, Colombia",Emprende Con Datos provides support to teams of entrepreneurs through mentoring and consulting for the construction of business models.,Government Office,,,"221,965"
PSU Entrepreneurship,https://www.crunchbase.com/organization/psu-entrepreneurship,,,"Portland, Oregon, United States",The PSU eClub is committed to fostering entrepreneurial innovation by providing a setting for dreams and ideas.,University Program,,,"217,157"
Global Currenciez LLC,https://www.crunchbase.com/organization/global-currenciez-llc,,,"Frisco, Texas, United States","Global Currenciez, LLC is an online investment management firm and trading university specializing in the worlds financial markets +(Forex).","Entrepreneurship Program, University Program",,,"216,866"
ABRAII,https://www.crunchbase.com/organization/abraii,,,,"ABRAII articulates joint actions, coordinates fundraising actions for startups, and boost technology-based innovation.",Government Office,,,"214,774"
Electricity network technologies,https://www.crunchbase.com/organization/electricity-network-technologies,,,"Moscow, Moscow City, Russian Federation",Developing technologies for Smart Grid,Government Office,"Crowdfunding, Late Stage Venture",,"213,774"
Business Birmingham,https://www.crunchbase.com/organization/business-birmingham,,,"Birmingham, Birmingham, United Kingdom",Business Birmingham is the city’s official inward investment programme.,Government Office,,,"212,180"
Africa Investment Authority,https://www.crunchbase.com/organization/africa-investment-authority,,,,Africa Investment Authority is a sovereign wealth fund that protects and grows financial assets and diversifies the economy.,"Corporate Venture Capital, Government Office, Private Equity Firm, Venture Debt","Late Stage Venture, Private Equity",,"210,798"
Arkansas SourceLink,https://www.crunchbase.com/organization/arkansas-sourcelink,,,"Little Rock, Arkansas, United States",Arkansas SourceLink’s mission is to help small businesses across the state of Arkansas grow and succeed.,Government Office,,,"209,794"
ePlus Ecosystem,https://www.crunchbase.com/organization/eplus-ecosystem,,,"Matosinhos, Porto, Portugal",ePlus is an ambitious and important undertaking aiming to help scale regional startups to European and international levels.,Government Office,,,"206,457"
101 Start Up Visa,https://www.crunchbase.com/organization/101-start-up-visa,,,,101 Start Up Visa can assist you to get your business idea funded and immigrate to Canada permanently.,Government Office,,,"204,922"
Government of Denmark,https://www.crunchbase.com/organization/government-of-denmark,3,,"Copenhagen, Hovedstaden, Denmark",Government of Denmark wants constructive dialogue and therefore encourages all participants to maintain a proper tone in comments.,Government Office,,3,"203,451"
Money Train,https://www.crunchbase.com/organization/money-train,,,"Tel Aviv, Tel Aviv, Israel",In cooperation with Israel Railways & leading Corporate / Investment partners.,Government Office,,,"202,764"
Missouri Venture Forum,https://www.crunchbase.com/organization/missouri-venture-forum,,,"St Louis, Missouri, United States",MVF is a non-profit organization formed in 1985. Originally known as Missouri Venture Forum.,Government Office,,,"202,487"
Mason Enterprise Center,https://www.crunchbase.com/organization/mason-enterprise-center,,,"Woodbridge, Virginia, United States","The Mason Enterprise Center offers a unique combination of programs, services, and resources for entrepreneurs of all experience levels.",University Program,,,"202,207"
StartUp BUZZ,https://www.crunchbase.com/organization/startup-buzz,,,"Porto, Lisboa, Portugal",Promoting college entrepreneurship,University Program,,,"201,377"
Tu Business Lab,https://www.crunchbase.com/organization/tu-business-lab,,,"Valencia, Comunidad Valenciana, Spain",Your Business Lab (TBL) turns ideas into companies offering a line of business entrepreneurs.,University Program,,,"199,815"
Karazinstartups,https://www.crunchbase.com/organization/karazinstartups,,,"Kharkiv, Sums'ka Oblast', Ukraine",Karazinstartups is a business school at the Department of Computer Science of V. N. Karazin Kharkiv National University.,University Program,,,"198,277"
Spawn Southampton,https://www.crunchbase.com/organization/spawn-southampton,,,"Southampton, Southampton, United Kingdom",Spawn Southampton is Start up help Programme for University of Southampton Students.,University Program,,,"196,866"
University Incubator,https://www.crunchbase.com/organization/university-incubator,,,"Berkeley, California, United States",Incubator located at UC Berkeley,University Program,,,"193,472"
Hebrew University Retirement Fund,https://www.crunchbase.com/organization/hebrew-university-retirement-fund,1,1,,Hebrew University Retirement Fund was added in 2010.,"University Program, Venture Capital",,,"193,102"
Federal investment,https://www.crunchbase.com/organization/federal-investment,,,,Federal investment,Government Office,Grant,,"192,262"
Bulgarian Business University,https://www.crunchbase.com/organization/bulgarian-business-university,,,"Sofia, Grad Sofiya, Bulgaria",Bulgarian Business University Foundation (BBU) was established to increase the knowledge of people who want to launch their own business,University Program,,,"191,468"
Shoebox Ventures,https://www.crunchbase.com/organization/shoebox-ventures,,,,Shoebox Ventures is a team of experts dedicated to helping nonprofit leaders with the knowledge they have.,Government Office,,,"191,303"
Menomonee Valley Partners,https://www.crunchbase.com/organization/menomonee-valley-partners,,,"Milwaukee, Wisconsin, United States","Milwaukee's Menomonee River Valley is an urban escape with nature, entertainment, companies and careers.",Government Office,,,"189,479"
The Market Development Fund,https://www.crunchbase.com/organization/the-market-development-fund,5,1,"Copenhagen, Hovedstaden, Denmark",The Market Development Fund helps enterprises bring their new products to the market faster.,Government Office,,,"188,827"
Clinton Global Initiative University,https://www.crunchbase.com/organization/clinton-global-initiative-university,1,,"New York, New York, United States",Established to turn ideas into action by gathering global leaders to help confront the world’s most pressing problems.,University Program,,,"187,655"
Alabama India Business Partnership,https://www.crunchbase.com/organization/alabama-india-business-partnership,,,,"The Alabama India Business Partnerships (AIBP) is a private, non-profit membership organization, established in 2005",Government Office,,,"186,678"
TU capital GmbH,https://www.crunchbase.com/organization/tu-capital-gmbh,,,"Dortmund, Nordrhein-Westfalen, Germany",TU capital: The Venture Capital Seedfond of the Technical University of Dortmund,"University Program, Venture Capital","Early Stage Venture, Seed",,"186,440"
CUE,https://www.crunchbase.com/organization/cu-enterprise-co-ltd,,,,Holding Company,"University Program, Venture Capital","Early Stage Venture, Late Stage Venture",,"186,431"
Cejesc,https://www.crunchbase.com/organization/cejesc,,,"Florianópolis, Santa Catarina, Brazil",Young entrepreneurs and entrepreneurs from various sectors of the economy SC.,Government Office,,,"186,410"
Florida state Legislature,https://www.crunchbase.com/organization/florida-state-legislature,1,,,The Florida State Legislature is the state legislature of Florida.,Government Office,Grant,1,"186,164"
Oklahoma Center for the Advancement of Science and Technology,https://www.crunchbase.com/organization/oklahoma-center-for-the-advancement-of-science-and-technology,,,"Oklahoma City, Oklahoma, United States",Oklahoma Center for the Advancement of Science and Technology the agency of the government technology-based economic development.,Government Office,,,"186,085"
Consolidate your business,https://www.crunchbase.com/organization/consolidateyourbusiness,,,"Alicante, Comunidad Valenciana, Spain",Consolidator business opportunities with innovative and market.,University Program,,,"185,319"
Rail Land Development Authority (RLDA),https://www.crunchbase.com/organization/rail-land-development-authority-rlda,1,1,"New Delhi, Delhi, India",Rail Land Development Authority (RLDA) is a development of vacant Railway.,Government Office,,1,"185,035"
StartupPush,https://www.crunchbase.com/organization/startuppush,,,"Amsterdam, Noord-Holland, The Netherlands",A free 12 week programme for real startups.,University Program,,,"183,230"
French Recovery Plan,https://www.crunchbase.com/organization/french-recovery-plan,2,1,"Paris, Ile-de-France, France",French Recovery Plan is created to support economic activity and to sustain the growth potential of the French economy.,Government Office,,1,"182,293"
Washington Research Group,https://www.crunchbase.com/organization/washington-research-group,3,,"Washington, District of Columbia, United States",Washington Research Group provides equity investors with insights and analysis on the impact of government policy on investment openings.,Government Office,"Early Stage Venture, Late Stage Venture",,"181,316"
Heuristica UFM,https://www.crunchbase.com/organization/heuristica-ufm,,,"Guatemala City, Guatemala, Guatemala",Heuristics offers Guatemalan entrepreneurs the opportunity to refine a business idea and present it to investors.,University Program,,,"181,256"
Bradley Technology Commercialization Center,https://www.crunchbase.com/organization/bradley-technology-commercialization-center,,,"Peoria Heights, Illinois, United States","Bradley Technology Commercialization Center is a business incubator headquartered in Peoria, Illinois.",University Program,,,"180,923"
SND Invest.,https://www.crunchbase.com/organization/snd-invest,2,1,"Oslo, Oslo, Norway","SND Invest is a venture capital firm that funds companies involved in fisheries and sea farming, technology, healthcare, and biotechnology.",Government Office,,,"179,287"
Adventurers and Scientists for Conservation,https://www.crunchbase.com/organization/adventurers-and-scientists-for-conservation,,,"Bozeman, Montana, United States","We recruit, train and manage skilled volunteers, saving our conservation partners time, money and effort.",Government Office,,,"178,341"
Sheffield City Region Investment,https://www.crunchbase.com/organization/sheffield-city-region-investment,2,,"Sheffield, Sheffield, United Kingdom",Sheffield City Region Investment,Government Office,,1,"178,267"
LAUNCH.ed,https://www.crunchbase.com/organization/launch-ed,2,,"Edinburgh, Edinburgh, City of, United Kingdom","The University of Edinburgh's free support service for student entrepreneurs. Business advisers, competitions, funding.",University Program,,,"178,114"
Heartland Challenge,https://www.crunchbase.com/organization/heartland-challenge,1,,"Fayetteville, Arkansas, United States",Heartland Challenge is intended to imitate the process of raising venture financing for a high-growth business.,University Program,,1,"177,907"
Support Programme for Industrial Innovation (SPII),https://www.crunchbase.com/organization/support-programme-for-industrial-innovation-spii,1,,,SPII is designed to promote technology development in South Africa’s industry,Government Office,,,"177,317"
Innovation and Incubation Centre,https://www.crunchbase.com/organization/innovation-and-incubation-centre,,,"Gandhinagar, Gujarat, India",Incubator at Pandit deendayal Petroleum University,"Accelerator, University Program",,,"177,166"
Heidelberg Startup Partners,https://www.crunchbase.com/organization/heidelberg-startup-partners,,,"Heidelberg, Baden-Wurttemberg, Germany",Startup support initiative by Heidelberg's leading research and educational institutes,"Entrepreneurship Program, University Program",Non Equity Assistance,,"176,141"
Greek Bailout Fund & Greek Crowdfund,https://www.crunchbase.com/organization/greek-bailout-fund-greek-crowdfund,,,,Crowdfunding efforts to help Greece,Government Office,,,"176,127"
Pitch Dingman Competition,https://www.crunchbase.com/organization/pitch-dingman-competition,3,,"College Park, Maryland, United States",Pitch Dingman Competition is the Dingman Center's signature annual competition.,"Entrepreneurship Program, University Program",,3,"175,799"
hothiphop,https://www.crunchbase.com/organization/hothiphop,,,,latest South African/Hiphop Mp3 music download,University Program,Debt,,"175,758"
Jindal Centre for Social Innovation + Entrepreneurship,https://www.crunchbase.com/organization/jsie,,,"Delhi, Delhi, India",An award-winning social impact centre at O.P. Jindal Global University,University Program,Non Equity Assistance,,"175,411"
Yingtian Assets,https://www.crunchbase.com/organization/yingtian-assets,1,,,Yingtian Assets is the subsidiary of the Ministry of Agriculture and Rural Affairs of China.,Government Office,,1,"174,574"
Vlaams Gewest,https://www.crunchbase.com/organization/vlaams-gewest,,,,Government of Flanders,Government Office,,,"174,552"
kyusa,https://www.crunchbase.com/organization/kyusa,,,"Kampala, Kampala, Uganda",Kyusa is in the final stages of registering as a non-profit organisation in Uganda. We are committed to opening up the wealth of free,University Program,,,"174,236"
Utrecht University Holding and Management Innovation Fund,https://www.crunchbase.com/organization/utrecht-university-holding-and-management-innovation-fund,2,,"Utrecht, Utrecht, The Netherlands",Utrecht University Holding and Management Innovation Fund,University Program,,,"173,884"
frontierCities,https://www.crunchbase.com/organization/frontiercities,1,,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",frontierCities is an EU funded project which aims to solicit and select high-calibre grant applications from SMEs.,Government Office,,,"173,754"
Arkansas Rural Enterprise Center at Winrock International,https://www.crunchbase.com/organization/arkansas-rural-enterprise-center-at-winrock-international,,,"Little Rock, Arkansas, United States",Winrock International's U.S. Programs addresses rural development challenges that affect communities across the country. U.S. Programs',University Program,,,"173,320"
Israel Chief Scintist office,https://www.crunchbase.com/organization/israel-chief-scintist-office,,,,Israel Chief Scintist office,Government Office,Seed,,"172,681"
Aceleradora de Campinas,https://www.crunchbase.com/organization/aceleradora-de-campinas,,,"São Paulo, Sao Paulo, Brazil",Aceleradora de Campinas is the first municipal accelerator in Spain helping people with legal entities.,Government Office,,,"172,376"
Tobacco Settlement Endowment Trust,https://www.crunchbase.com/organization/tobacco-settlement-endowment-trust,2,,"Oklahoma City, Oklahoma, United States","Tobacco Settlement Endowment Trust is a non-profit organization that prevents cancer, heart disease, and stroke by reducing tobacco use.",Government Office,,1,"172,149"
BIG (Business Investment for Growth),https://www.crunchbase.com/organization/big-business-investment-for-growth,1,,"London, England, United Kingdom",BIG Productivity is an investment programme for small and medium businesses in Cornwall.,Government Office,Grant,1,"171,380"
Wereyadia Institute,https://www.crunchbase.com/organization/wereyadia-institute,,,"Lagos, Lagos, Nigeria",Wereyadia Institute offers fields of study in most in-demand and future jobs.,"Accelerator, Corporate Venture Capital, University Program",Seed,,"170,986"
Ministerio de la Procuccón Argentina,https://www.crunchbase.com/organization/ministerio-de-la-procuccón-argentina,1,,,Depende del Ministerio de Economía,Government Office,,,"170,886"
European Maritime and Fisheries Fund (EMFF),https://www.crunchbase.com/organization/european-maritime-and-fisheries-fund-emff,2,,"Brussel, Brussels Hoofdstedelijk Gewest, Belgium","European Maritime and Fisheries helps fishers to adopt sustainable fishing practices and coastal communities to diversify their economies,.",Government Office,Grant,2,"169,626"
GO Virginia,https://www.crunchbase.com/organization/go-virginia,4,,"Richmond, Virginia, United States",GO Virginia is a bipartisan economic development initiative that diversifies and strengthen the economy in every region of the Commonwealth.,Government Office,,4,"169,442"
The Peierls Foundation,https://www.crunchbase.com/organization/the-peierls-foundation,8,4,"New York, New York, United States",The Peierls Foundation is a HSF's institutional contributors.,Government Office,Early Stage Venture,,"169,385"
Inspire!,https://www.crunchbase.com/organization/inspire-5,,,"Bangalore, Karnataka, India",Inspire! is an incubation centre established by Christ University and 1Crowd for early stage startups.,University Program,,,"168,965"
Fundeun,https://www.crunchbase.com/organization/fundeun,,,"Alicante, Comunidad Valenciana, Spain",FUNDEUN offers a free counseling service coordinated by the Ministry of Science and Innovation.,University Program,,,"168,451"
Food Production Investment Program,https://www.crunchbase.com/organization/food-production-investment-program,,,,Food Production Investment Program invests in Cap-and-Trade programs.,Government Office,,,"168,285"
University of Michigan Investment in New Technologies Fund,https://www.crunchbase.com/organization/university-of-michigan-investment-in-new-technologies-fund,3,1,,investor,University Program,,,"167,633"
GivingCapital,https://www.crunchbase.com/organization/givingcapital,,,"Philadelphia, Pennsylvania, United States","GivingCapital, a provider of Internet applications that allow nonprofit organizations to manage online fundraising.",Government Office,,,"167,520"
Enterprise Bath,https://www.crunchbase.com/organization/enterprise-bath,2,,"Bath, Bath and North East Somerset, United Kingdom",Here to support entrepreneurial minds.,"Entrepreneurship Program, Startup Competition, University Program",Grant,2,"166,722"
County Durham Growth Fund,https://www.crunchbase.com/organization/county-durham-growth-fund,3,,"Durham, Durham, United Kingdom",County Durham Growth Fund offers capital grant funding to support businesses looking to expand or establish new operations in County Durham.,Government Office,Grant,3,"166,128"
NÖBEG,https://www.crunchbase.com/organization/nbeg,2,1,"Vienna, Wien, Austria",NÖBEG is a company that offers financing and dynamic corporate development services.,Government Office,Early Stage Venture,,"165,708"
The MiSTEM Advisory Council,https://www.crunchbase.com/organization/the-mistem-advisory-council,3,,"Lansing, Michigan, United States",The MiSTEM Advisory Council in state grants to support K-12 STEM programs to increase student engagement and achievement.,Government Office,Grant,3,"165,391"
Business Creation Center Salzburg,https://www.crunchbase.com/organization/business-creation-center-salzburg,1,,"Salzburg, Salzburg, Austria",Existing innovation potential for business start-ups.,"Incubator, University Program",Seed,,"165,255"
HI Growth Initiative,https://www.crunchbase.com/organization/hi-growth-initiative,,,"Honolulu, Hawaii, United States",HSDC implemented the HI Growth Initiative to attract private investment to Hawaii’s innovation economy.,Government Office,,,"164,561"
Ivy Plus,https://www.crunchbase.com/organization/ivy-plus,,,"New York, New York, United States","We look at firms in technology, software, web, media and medical devices. All companies must be revenue generating with dramatic upside to",University Program,,,"164,486"
Imkan Project,https://www.crunchbase.com/organization/imkan-project,,,"Luxor, Qina, Egypt",Imkan Project,Government Office,,,"164,442"
Columbia Social Entrepreneurship Accelerator,https://www.crunchbase.com/organization/columbia-social-entrepreneurship-accelerator,,,"New York, New York, United States",Columbia SocEntrepreneurship Accelerator,"Accelerator, University Program",,,"164,434"
National Intelligence and Security Discovery Research Grants,https://www.crunchbase.com/organization/national-intelligence-and-security-discovery-research-grants,1,,"Canberra, Australian Capital Territory, Australia",NISDRG encourages outstanding research that advances understanding of new science and technology.,Government Office,,1,"163,918"
Badesul,https://www.crunchbase.com/organization/badesul,,,"Porto Alegre, Rio Grande do Sul, Brazil","Agência de fomento que busca promover o desenvolvimento econômico e social do estado do Rio Grande do Sul, Brasil.","Government Office, Private Equity Firm, Venture Capital","Early Stage Venture, Private Equity, Seed, Venture",,"163,735"
Invest Western France,https://www.crunchbase.com/organization/invest-western-france,,,"Nantes, Pays de la Loire, France",Invest Western France is discover the 8 main assets to invest in Western France and to develop your business project.,Government Office,,,"163,619"
Equity Investment Attraction Fund,https://www.crunchbase.com/organization/equity-investment-attraction-fund,,,"Melbourne, Victoria, Australia",Co-investment with venture capital firms in Series A of highly innovative companies that generates economic benefits for Victoria.,"Government Office, Venture Capital",Early Stage Venture,,"163,434"
European Energy Efficiency Fund,https://www.crunchbase.com/organization/european-energy-efficiency-fund,,,"Bertrange, Luxembourg, Luxembourg",EEEF mitigates climate change by energy efficiency measures and the use of renewable energy.,Government Office,,,"162,935"
Memorial Centre for Entrepreneurship,https://www.crunchbase.com/organization/memorial-centre-for-entrepreneurship,2,,"Newfoundland, New Jersey, United States",MCE's mission is to inspire and enable students from all faculties and backgrounds at Memorial University.,University Program,,2,"162,789"
U.S. Department of Energy Advanced Manufacturing Office,https://www.crunchbase.com/organization/u-s-department-of-energy-advanced-manufacturing-office,5,3,"Washington, District of Columbia, United States","U.S. Department of Energy Advanced Manufacturing Office is supports R&D projects, R&D consortia.",Government Office,,4,"162,505"
Texas Talent Connection,https://www.crunchbase.com/organization/texas-talent-connection,1,,"Austin, Texas, United States",Texas Talent Connection is a grant program.,Government Office,,1,"162,481"
Nekaneet First Nation,https://www.crunchbase.com/organization/nekaneet-first-nation,1,1,"Maple Creek, Saskatchewan, Canada",Nekaneet First Nation is a ancestral land in the Cypress Hills located in southwest Saskatchewan.,Government Office,,1,"162,235"
Delaware State Bank,https://www.crunchbase.com/organization/delaware-state-bank-commissioner,1,,"Dover, Delaware, United States",Delaware State Bank is responsible for administering and enforcing all the provisions of the State Banking.,Government Office,,1,"162,202"
"Harvard Business School Club of Washington, D.C.",https://www.crunchbase.com/organization/harvard-business-school-club-of-washington-d-c,,,"Washington, District of Columbia, United States","HBSClubDC brings you HBS Club and alumni news from Washington, DC.",University Program,,,"162,065"
NDI Foundation,https://www.crunchbase.com/organization/ndi-foundation,,,,Start succesful high-tech companies on global market based on postsoviet scintific based innovations. some projects: http://goo.gl/jPVHnz,Government Office,"Crowdfunding, Debt, Early Stage Venture, Grant, Late Stage Venture, Post-Ipo, Private Equity, Seed",,"161,832"
Invergy,https://www.crunchbase.com/organization/invergy,1,,"Barcelona, Catalonia, Spain",Invergy is a company that invests in spin-offs and start-ups in the education and ICT sectors that are linked to the UOCs areas of expertise,"Accelerator, Entrepreneurship Program, Incubator, University Program, Venture Capital",Early Stage Venture,,"161,771"
Guada Lab,https://www.crunchbase.com/organization/guada-lab,,,"Buendía, Castilla-La Mancha, Spain",The Scientific and Technological Park of Guadalajara is a project created and funded by a conglomerate of institutions.,University Program,,,"161,675"
Tongxiang Municipal Government,https://www.crunchbase.com/organization/tongxiang-municipal-government,1,,"Tongxiang, Zhejiang, China","Tongxiang is a county-level city, part of Jiaxing, in northern Zhejiang Province, China, bordering Jiangsu province to the north",Government Office,Grant,1,"161,645"
FONSOFT ARGENTINA,https://www.crunchbase.com/organization/fonsoft-argentina,1,,,Government Agency,Government Office,,,"161,500"
University of Cincinnati Technology Accelerator for Commercialization,https://www.crunchbase.com/organization/university-of-cincinnati-technology-accelerator-for-commercialization,2,,"Cincinnati, Ohio, United States","UC Technology Accelerator for Commercialization provides seed funding, entrepreneurial expertise and business connections.","Accelerator, University Program",,,"161,442"
CEC,https://www.crunchbase.com/organization/cec-bd5c,,,,CEC,Government Office,,,"161,326"
Canadian Northern Economic Development Agency,https://www.crunchbase.com/organization/canadian-northern-economic-development-agency,4,,"Iqaluit, Nunavut, Canada",CanNor works with communities to build diversified economies that foster sustainability and economic prosperity.,Government Office,,1,"160,954"
Massachusetts Board of Library Commissioners,https://www.crunchbase.com/organization/massachusetts-board-of-library-commissioners,1,,"Boston, Massachusetts, United States",The Massachusetts Board of Library Commissioners is the agency of state government with the statutory authority and responsibility.,Government Office,,1,"160,949"
Jain University Incubation Centre,https://www.crunchbase.com/organization/jain-university-incubation-centre,,,"Bengaluru, Karnataka, India",Incubate8800 is a Flagship incubation program of JUincubator.,University Program,,,"160,144"
auftakt. Das Gründerforum Ilmenau,https://www.crunchbase.com/organization/auftakt-das-gründerforum-ilmenau,,,"Ilmenau, Thuringen, Germany","auftakt fosters and promotes entrepreneurship among students, researchers and alumni of Ilmenau University of Technology","Entrepreneurship Program, University Program",,,"160,024"
Municipal Centre of Enterprises,https://www.crunchbase.com/organization/municipal-centre-of-enterprises,,,"Gijón, Asturias, Spain",Objective is to facilitate the creation.,Government Office,,,"159,953"
Federal Ministry of Economics and Technology,https://www.crunchbase.com/organization/federal-ministry-of-economics-and-technology-germany,,,"Berlin, Berlin, Germany",Federal Ministry of Economics and Technology support for founders from universities and non-university institutions.,Government Office,Grant,,"159,756"
Information City,https://www.crunchbase.com/organization/information-city,3,1,"Melbourne, Victoria, Australia",Information City develops early-stage information communications and technology ventures.,"Government Office, Incubator","Late Stage Venture, Seed",,"159,678"
Export-Import Bank of the Republic of China,https://www.crunchbase.com/organization/export-import-bank-of-the-republic-of-china,1,,"Taipei, T'ai-pei, Taiwan",Export-Import Bank of the Republic of China is a state-owned enterprise of the Ministry of Finance of Republic of China.,Government Office,,1,"159,346"
Steel Partners Foundation,https://www.crunchbase.com/organization/steel-partners-foundation,,,"Aspen, Colorado, United States","Steel Partners Foundation was formed in 2001 by Warren Lichtenstein, founder and executive chairman of Steel Partners Holdings L.P.",Government Office,,,"159,188"
Shandong Economic Development,https://www.crunchbase.com/organization/shandong-economic-development,3,1,"Jinan, Shandong, China",Shandong Economic Development is an investment firm.,Government Office,,1,"158,983"
i.Lab at UVA,https://www.crunchbase.com/organization/i-lab-at-uva,2,,"Charlottesville, Virginia, United States",The i.Lab is a University-wide initiative that creates a nexus for entrepreneurship and innovation education.,University Program,,1,"158,388"
OU INCubator,https://www.crunchbase.com/organization/ou-incubator,,,"Rochester, Michigan, United States","OU INC is a SmartZone Business Accelerator, in collaboration with the City of Rochester Hills, Michigan .",University Program,,,"157,643"
Business Research and Innovation Initiative,https://www.crunchbase.com/organization/business-research-and-innovation-initiative,1,,"Brisbane, Queensland, Australia",The Business Research Innovation Initiative (BRII) is a federal government program that supports businesses.,Government Office,,1,"157,603"
WCB EIT+,https://www.crunchbase.com/organization/wcb-eit,1,1,"Wroclaw, Dolnoslaskie, Poland",WCB EIT+ is a company that provides biotechnology and medical technology.,"Government Office, Micro VC",Seed,,"157,406"
MFG Innovationsagentur,https://www.crunchbase.com/organization/mfg-innovationsagentur,1,,,Govermental Innovation Agency,Government Office,Seed,,"157,320"
Syddansk Vækstforum,https://www.crunchbase.com/organization/syddansk-v-kstforum,2,,"Vejle, Syddanmark, Denmark",Syddansk Vækstforum,"Government Office, Micro VC",Seed,,"157,259"
Partnerships UK,https://www.crunchbase.com/organization/partnerships-uk,3,2,"London, England, United Kingdom","Partnerships UK was set up in 2000 to succeed the Treasury Taskforce and set up a permanent centre of excellence, moving away from the old",Government Office,Early Stage Venture,,"156,485"
Geek Partnership Society,https://www.crunchbase.com/organization/geek-partnership-society,,,"Minneapolis, Minnesota, United States",The Geek Partnership Society is a non-profit organization.,Government Office,,,"156,427"
Wharton Ventures,https://www.crunchbase.com/organization/wharton-ventures,1,,"Salt Lake City, Utah, United States","Wharton Ventures is a collaborative effort between students from Wharton, University of Utah and the professional investment community.",University Program,"Late Stage Venture, Seed",,"156,304"
Canada Community Revitalization Fund,https://www.crunchbase.com/organization/canada-community-revitalization-fund,3,,"Ottawa, Ontario, Canada","CCRF is a two-year, $500 million national infrastructure program designed to rebuild Canadian towns.",Government Office,,3,"155,336"
Social Innovation Fund (Portugal),https://www.crunchbase.com/organization/social-innovation-fund-portugal,2,,"Porto Alegre, Rio Grande do Sul, Brazil",Public impact investment fund,Government Office,,,"155,182"
Alaska Science & Technology Foundation,https://www.crunchbase.com/organization/alaska-science-technology-foundation,,,"Anchorage, Alaska, United States",ASTF is a state agency created in 1988 that invests to improve economy and to increase the state's science and engineering capabilities.,Government Office,Grant,,"153,407"
Critical Minerals Development Program,https://www.crunchbase.com/organization/critical-minerals-development-program,1,1,"Canberra, Australian Capital Territory, Australia",Critical Minerals Development Program is a program provides funding to help progress early to mid-stage critical minerals projects.,Government Office,,1,"153,220"
National Institute for the Commercialization of Clean Energy (NICCE),https://www.crunchbase.com/organization/national-institute-for-the-commercialization-of-clean-energy-nicce,,,"Blackstone, Virginia, United States","The National Institute for the Commercialization of Clean Energy (NICCE, Inc.) is a Delaware C corporation representing a collaboration",University Program,,,"152,618"
MaroonX Accelerator Program,https://www.crunchbase.com/organization/maroonx-accelerator-program,,,"Starkville, Mississippi, United States",Mississippi State and Texas A&M University are building a program designed for universities in areas lacking strong investment resources.,University Program,Grant,,"152,577"
U CAN-CER VIVE Foundation,https://www.crunchbase.com/organization/u-can-cer-vive-foundation,1,,"Highland, Michigan, United States",U CAN-CER VIVE Foundation mission to provide funding for cancer research grants in the state of Michigan.,Government Office,Grant,1,"152,297"
Downtown Winston-Salem Partnership,https://www.crunchbase.com/organization/downtown-winston-salem-partnership,,,"Winston Salem, North Carolina, United States",Downtown Winston-Salem Partnership provides grants and investments for startups.,Government Office,,,"152,204"
"Ventureprise, Inc.",https://www.crunchbase.com/organization/the-ben-craig-center,1,,"Charlotte, North Carolina, United States",Ventureprise is a non-profit incubator and accelerator.,"Entrepreneurship Program, University Program","Early Stage Venture, Seed",1,"152,163"
Universal Broadband Fund,https://www.crunchbase.com/organization/universal-broadband-fund,1,1,"Ottawa, Ontario, Canada",Universal Broadband Fund is a canada government fund program that supports high-speed internet projects.,Government Office,,1,"152,020"
Macomb-OU INCubator,https://www.crunchbase.com/organization/macomb-ou-incubator,,,"Sterling Heights, Michigan, United States",The Macomb-Oakland University INCubator supports economic development in Southeast Michigan.,University Program,,,"151,818"
Capitol Ventures,https://www.crunchbase.com/organization/capitol-ventures,2,,,The focus of our firm is to provide on-the-ground federal government relations management for entities in Oklahoma.,Government Office,,,"151,263"
START-UP NY,https://www.crunchbase.com/organization/start-up-ny,,,"New York, New York, United States",START-UP NY provides leading technology companies that create jobs in NY State with the opportunity to operate 100% tax-free for 10 years.,Government Office,,,"151,228"
LTU Business AB,https://www.crunchbase.com/organization/ltu-business-ab,,,"Luleå, Norrbottens Lan, Sweden",LTU Business AB is a business development company owned by Luleå University of Technology.,University Program,,,"150,855"
Accelerated Discovery Initiative,https://www.crunchbase.com/organization/accelerated-discovery-initiative,1,1,"Adelaide, South Australia, Australia","Accelerated Discovery Initiative (ADI) embraces innovation, collaboration and capacity building to advance exploration activity.",Government Office,,1,"150,763"
Kilkenny CEB,https://www.crunchbase.com/organization/kilkenny-ceb,1,,"Kilkenny, Kilkenny, Ireland","The Kilkenny County Enterprise Board (CEB) is one of 35 CEBs established by the Government in 1993 to help stimulate the establishment,",Government Office,Seed,,"150,758"
