Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PORIBIO,https://www.crunchbase.com/organization/poribio,"Biotechnology, Cosmetics, Medical, Pharmaceutical","Chungbuk, Kyongsang-bukto, South Korea",PORIBIO is a research and deployment company that specializes in regenerative medicine.,"76,695",,Active,2021-01-01,year,,,,,For Profit,https://www.poribio.co.kr,,Seed,200000000,KRW,151734
Ceres F&D,https://www.crunchbase.com/organization/ceres-f-d,"Biotechnology, Manufacturing, Medical, Pharmaceutical","Jecheon, Ch'ungch'ong-bukto, South Korea",Ceres F&D is a biopharmaceutical company that manufactures immunosuppressants and antibiotic drug substances.,"77,256",,Active,2018-06-15,day,,,,,For Profit,http://www.ceresfnd.com,,Early Stage Venture,9500000000,KRW,8103487
Etnova Therapeutics,https://www.crunchbase.com/organization/etnova-therapeutics,"Biopharma, Biotechnology, Pharmaceutical, Product Research","Seoul, Seoul-t'ukpyolsi, South Korea",Etnova Therapeutics is a bio-venture company that specializes in the research and development of new drug substances.,"78,139",,Active,2020-01-01,year,,,,,For Profit,https://etnova.co.kr,,Early Stage Venture,5200000000,KRW,4252535
Mthera Pharma,https://www.crunchbase.com/organization/mthera-pharma,"Biotechnology, Pharmaceutical, Test and Measurement","Seoul, Seoul-t'ukpyolsi, South Korea",Mthera Pharma is a biopharmaceutical research and development company.,"81,125",,Active,2020-01-01,year,,,,,For Profit,http://mtherapharma.com,,,3500000000,KRW,3112413
Primoris Therapeutics,https://www.crunchbase.com/organization/primoris-therapeutics,"Biotechnology, Medical, Pharmaceutical","Gwangmyeong, Inch'on-jikhalsi, South Korea",Primoris Therapeutics is a medical research and development center.,"81,302",,Active,2019-01-01,year,,,,,For Profit,http://www.primoris.co.kr,,Seed,3000000000,KRW,2763118
Cell in Cells,https://www.crunchbase.com/organization/cell-in-cells,"3D Technology, Biotechnology, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Cell in Cells researches and develops cell therapy products for regenerative medicine through the 3D technology of stem cells.,"81,514",$1M to $10M,Active,2014-12-01,month,,,,,For Profit,http://www.cellincells.com,,Early Stage Venture,15500000000,KRW,13551194
SK Bioland,https://www.crunchbase.com/organization/sk-bioland,"Biotechnology, Cosmetics","Cheonan, Ch'ungch'ong-namdo, South Korea",SK Bioland produces a variety of plant extracts for cosmetic ingredients.,"81,801",,Active,1995-01-01,year,2010-10-15,day,,,For Profit,http://www.skbioland.com/en/,SK Bioland produces a variety of plant extracts used as cosmetic ingredients as well as biomedical devices and ingredients for functional food and active pharmaceuticals.,IPO,101700000,USD,101700000
LYNK Solutec,https://www.crunchbase.com/organization/lynk-solutec,"Biotechnology, Medical, Medical Device","Seoul, Seoul-t'ukpyolsi, South Korea",LYNK Solutec is a laboratory-based company that specializes in bio-medical devices.,"83,382",,Active,2020-07-01,month,,,,,For Profit,http://lynksolutec.com,,Seed,1000000000,KRW,841128
"BioSpectrum, Inc.",https://www.crunchbase.com/organization/biospectrum-inc,"Biotechnology, Chemical, Manufacturing","Seongnam, Kyonggi-do, South Korea","BioSpectrum, Inc. is discovers and develops products for the life sciences industry based on natural products.","84,175",Less than $1M,Active,2000-04-01,month,,,,,For Profit,http://biospectrum.com/,"BioSpectrum, Inc. discovers and develops products for the life sciences industry based on natural products. The company manufactures ingredients for the cosmetic and personal care industry. Its products include products for beneficial effects on stem cells; mixed compounds for special biological purposes; single and blended extracts from marine plants.",,9600000000,KRW,8379937
Pharmicell,https://www.crunchbase.com/organization/pharmicell,"Biotechnology, Health Care, Manufacturing","Yeoksamdong, Seoul-t'ukpyolsi, South Korea","Pharmicell is a biotechnology company, engages in the manufacturing of biopharmaceutical medicines in South Korea.","84,197",,Active,1968-01-01,day,,,,,For Profit,http://www.pharmicell.com/,,Private Equity,8000000000,KRW,7581932
Pensées,https://www.crunchbase.com/organization/pensées,"3D Technology, Biotechnology, Manufacturing, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Pensées is a 3D bio-printer company in South Korea.,"84,454",Less than $1M,Active,2015-07-27,day,,,,,For Profit,https://pensees.co.kr,,Seed,280000000,KRW,249908
BnH Research,https://www.crunchbase.com/organization/bnh-research,"Biotechnology, Health Care, Therapeutics","Chuncheon, Kangwon-do, South Korea",BnH Research develops therapeutics for patients suffering from chronic conditions.,"84,541",,Active,2015-01-01,year,,,,,For Profit,https://www.bnhresearch.net,,Early Stage Venture,17500000000,KRW,14403057
AUTOTAC Bio,https://www.crunchbase.com/organization/autotac-bio,"Biotechnology, Health Care, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",AUTOTAC Bio is a drug development company that creates protein target decomposition drugs for humans.,"84,963",,Active,2015-01-01,year,,,,,For Profit,http://www.autotacbio.com,,Early Stage Venture,16500000,USD,16500000
Genencell,https://www.crunchbase.com/organization/genencell-co,"Biotechnology, Health Care, Medical, Product Research","Giheung, Kyonggi-do, South Korea",Genencell is a healthcare company that researches and develops products based on functional cosmetics and medical devices.,"84,999",,Active,2016-08-26,day,,,,,For Profit,http://www.genencell.co.kr,,,11300000000,KRW,9612182
New Flight,https://www.crunchbase.com/organization/new-flight,"Biotechnology, Health Care, Life Science","Seoul, Seoul-t'ukpyolsi, South Korea",Bio Accelerator in S.Korea,"85,080",,Active,2016-09-01,month,,,,,For Profit,http://www.newflight.co.kr,Company builder and accelerator in Bio-medical industry ,Seed,10000000000,KRW,8934634
Curamys,https://www.crunchbase.com/organization/curamys,"Biotechnology, Genetics, Medical","Seoul, Seoul-t'ukpyolsi, South Korea",Curamys is a biotechnology company that develops cell fusion technology to cure intractable diseases.,"85,517",,Active,2018-06-22,day,,,,,For Profit,http://www.curamys.com,,Early Stage Venture,8560000,USD,8560000
Newracle Genetics,https://www.crunchbase.com/organization/newracle-genetics,"Biotechnology, Medical, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",Newracle Genetics is a bio venture company that develops gene therapy products for neurological diseases.,"85,815",,Active,2018-05-01,month,,,,,For Profit,http://neuraclegen.com,,Early Stage Venture,30000000000,KRW,26875198
Chemifolio,https://www.crunchbase.com/organization/chemifolio,"Biotechnology, Chemical, Manufacturing","Busan, Pusan-jikhalsi, South Korea",Chemifolio is a biomaterial company that manufactures ultra-high purity cardanol-based chemical products.,"86,359",,Active,2019-04-01,month,,,,,For Profit,https://chemifolio.co.kr,,Seed,2200000000,KRW,1845781
