Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Arizona Counties Insurance Pool,https://www.crunchbase.com/organization/arizona-counties-insurance-pool,"Auto Insurance, Government, Insurance, Property Insurance","Phoenix, Arizona, United States",Arizona Counties Insurance Pool is an insurance agency.,"584,000","Greater Phoenix Area, Western US",$10M to $50M,Active,1988-01-01,year,,,,,For Profit,https://www.aciponline.org,"The Arizona Counties Insurance Pool covers workers' compensation, auto, property, and casualty insurance. They provide county government with claim adjudication, risk management, and consultation services unique to county government.","Financial Services, Government and Military",,,11-50,,,,,,,,,,,,,Private,,,,,,
Electronics TakeBack Coalition,https://www.crunchbase.com/organization/electronics-takeback-coalition,"Electronics, Non Profit","Oakland, California, United States",Electronics TakeBack Coalition is a group of non-profit organizations that promote responsible recycling and green design.,"584,000","San Francisco Bay Area, West Coast, Western US",Less than $1M,Active,2001-01-01,year,,,,,For Profit,http://www.electronicstakeback.com,"Electronics TakeBack Coalition is a group of non-profit organizations that promote responsible recycling and green design in the electronics industry. The organization’s goal is to protect the health and well being of electronics users, workers, and the communities where electronics are produced and discarded by requiring consumer electronics manufacturers and brand owners to take full responsibility for the life cycle of their products through effective public policy requirements or enforceable agreements. Electronics TakeBack Coalition aims to improve the next generation of solid waste and toxic material policies, promote the manufacture of cleaner computers, curb the flow of toxic electronic waste by pushing manufacturers to take responsibility for their waste, internalize its cost in corporate bottom lines, and phase out the use of hazardous substances. Electronics TakeBack Coalition was founded in 2001 in Oakland, California.","Consumer Electronics, Hardware, Other, Social Impact",,,51-100,,,,,,,,,,,,,Private,,,,,,
EndOffice,https://www.crunchbase.com/organization/endoffice,"Cloud Computing, Data Center, Developer Tools, DevOps, Information Technology, Web Hosting","Boston, Massachusetts, United States","EndOffice is an IT firm that offers web hosting, hosted NAS, startup partnerships, cloud data, server management, and DevOps services.","584,001","Greater Boston Area, East Coast, New England",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://endoffice.com,,"Hardware, Information Technology, Internet Services, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Sears Contract,https://www.crunchbase.com/organization/sears-contract,"Commercial, Construction, Manufacturing, Project Management","Raleigh, North Carolina, United States","Sears Contract specializes in commercial metal stud construction, metal stud framing, gypsum wallboard and specialty systems.","584,001","Research Triangle, East Coast, Southern US",$10M to $50M,Active,1995-01-01,year,,,,,For Profit,https://www.searscontract.com/,,"Administrative Services, Manufacturing, Other, Real Estate",,,251-500,,,,,,,,,,,,,Private,,,,,,
ReadyNet Solutions,https://www.crunchbase.com/organization/readynet-solutions,"Computer, Consumer Electronics, Information Technology, Telecommunications","Midvale, Utah, United States",ReadyNet Solutions is a next-generation communications technology company founded in 1988.,"584,006",Western US,$10M to $50M,Active,1988-01-01,day,,,,,For Profit,http://www.readynetsolutions.com/,,"Consumer Electronics, Hardware, Information Technology",,,11-50,,,,,,,,,,,,,Private,,,,,,
Catholic Charities San Francisco,https://www.crunchbase.com/organization/catholic-charities-san-francisco,"Charity, Non Profit, Social, Social Assistance","San Rafael, California, United States","Catholic Charities San Francisco is a charity organization that offers housing, immigration, children, youth, and elderly support services.","584,007","San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,1907-01-01,year,,,,,Non-profit,https://www.catholiccharitiessf.org/,,"Community and Lifestyle, Government and Military, Other, Social Impact",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Priority Metrics Group,https://www.crunchbase.com/organization/priority-metrics-group,"Consulting, Marketing","Spartanburg, South Carolina, United States",Priority Metrics Group is a marketing consulting firm.,"584,007","East Coast, Southern US",$1M to $10M,Active,1993-01-01,day,,,,,For Profit,https://pmgco.com/,,"Professional Services, Sales and Marketing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Roots Apothecary,https://www.crunchbase.com/organization/roots-apothecary,"E-Commerce, Personal Health, Therapeutics, Wellness","Colorado Springs, Colorado, United States",Roots Apothecary is an e-commerce firm selling health care products.,"584,011",Western US,,Active,,,,,,,For Profit,https://www.rootsapothecary.com,"Roots Apothecary is a research, development, and retail brand for health care products that strengthen the foundational mechanisms by which the body takes care of itself. They follow the rapidly evolving medical research relating to the whole-body methodology and develop organic applications that bridge traditional approaches with modern knowledge. Their products include body care, face care, deodorant, beard care, mushrooms, tinctures, herbal tea, essential oils, and muscle rub.","Commerce and Shopping, Health Care",,,,,,,,,,,,,,,,Private,,,,,,
Foxx Capital Funding,https://www.crunchbase.com/organization/foxx-capital-funding,"Banking, Finance, Financial Services, Lending, Personal Finance","Astoria, New York, United States","Foxx Capital Funding provides mortgage, investment properties, cash-out refinance, commercial, construction, and home equity loan services.","584,012","Greater New York Area, East Coast, Northeastern US",Less than $1M,Active,1999-01-01,year,,,,,For Profit,https://www.foxxcapital.com,,"Financial Services, Lending and Investments",,,11-50,,,,,,,,,,,,,Private,,,,,,
Hollub Group,https://www.crunchbase.com/organization/hollub-group,"Construction, Home Services, Real Estate","Miami, Florida, United States",Hollub Group is a construction company that focuses on home building and remodeling services.,"584,013","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,1954-01-01,year,,,,,For Profit,https://hollubhomes.com/,"Renovating a house requires as much attention and focus as designing it from the ground up. Identifying the key aspects of the structure, the essence, and spirit of a house, and having a vision of what this can reveal through a renovation process is what we are known for. Like a sculptor with a block of marble, we see the potential, and transform it into a work of art, maintaining what is possible from the original structure and blending it with new work to enhance the house and its living experience.",Real Estate,2,"Helene Hollub, MARVIN HOLLUB",11-50,,,,,,,,,,,,,Private,,,,,,
Montgomery County Emergency Service,https://www.crunchbase.com/organization/montgomery-county-emergency-service,"Health Care, Hospitality, Non Profit","Norristown, Pennsylvania, United States",Montgomery County Emergency Service is a psychiatric hospital that offers behavioral health services.,"584,013","Greater Philadelphia Area, Great Lakes, Northeastern US",,Active,1974-02-27,day,,,,,Non-profit,http://www.mces.org,,"Health Care, Other, Social Impact, Travel and Tourism",,,101-250,,,,,,,,,,,,,Private,,,,,,
Seward Screw,https://www.crunchbase.com/organization/seward-screw,"Industrial Engineering, Machinery Manufacturing, Manufacturing","Seward, Nebraska, United States","Seward Screw is a manufacturing company with they made an integral combination of leading-edge technology, streamline processes, and caring.","584,014",Midwestern US,$50M to $100M,Active,1954-01-01,year,,,,,For Profit,https://www.sewardscrew.com,"Seward Screw has the cutting-edge technology and versatile manufacturing expertise to get the job done with precision. It is a manufacturing company that made an integral combination of leading-edge technology, streamlined processes, and caring. Its primary manufacturing processes high-speed rotary transfer machining, cnc machining, conventional screw machining, and multiple-die cold forming are driven by state-of-the-art equipment to produce parts and components from steel, copper, brass, aluminum, stainless steel, or other materials, within a wide range of diameters, lengths, shape complexities, and tolerances.","Manufacturing, Science and Engineering",,,11-50,,,,,,,,,,,,,Private,,,,,,
Bluerobin,https://www.crunchbase.com/organization/bluerobin,"Enterprise, Infrastructure","Canton, Ohio, United States",Blue Robin is a leading Cloud Computing (eBusiness infrastructure) developer specializing in enterprise digital assets management systems. ,"584,015","Great Lakes, Midwestern US",Less than $1M,Active,2003-01-01,year,,,,,For Profit,http://www.bluerobin.com,"Blue Robin is a leading Cloud Computing (eBusiness infrastructure) developer specializing in enterprise digital assets management systems. Blue Robin can design, develop, implement, host, and support Cloud Computing Platfom utilizing the latest, most advanced hardware and software technology, in diverse operating environments. To compete in today's fast-paced Global world, all businesses must have the right eBusiness infrastructure to ensure success. Blue Robin makes it their business to make sure that all your business-critical networks, systems, all digital assets and applications are constantly available anytime/anywhere.Cloud Computing is a new realm of Information Technology (IT) demand, a new avenue of productivity in today's fast growing modularized distributed network environment.     No matter how many or how complex the business processes may be, to compete effectively, businesses must keep all of their data, applications, and networks available (and accessible) for their customers, employees, partners, suppliers, (and even investors) at all times. Whether your focus is local, national, or even if the world is your playing field, utilizing the web, they  build and support the right infrastructure to alleviate the IT complexity that surrounds your business. Their pledge is to help you face these complex challenges with smart and cost-effective solutions that keep your business operational anytime, and available anywhere. Their eBusiness infrastructure solutions will guide you and your clients into a more productive and successful future. ",Other,1,Hadi Shavarini,11-50,,,,,,,,,,,,,Private,,,,,,
DeVO Protocol,https://www.crunchbase.com/organization/devo-protocol,"Blockchain, Financial Services, FinTech, Social Impact, Software","Camden Wyoming, Delaware, United States","Redefining philanthropy & volunteerism via blockchain. Empowering a transparent, efficient, inclusive global community.","584,020","East Coast, Southern US",,Active,2021-01-01,year,,,,,For Profit,https://devoprotocol.org/,"DeVO Protocol is a pioneering organization dedicated to transforming the landscape of philanthropy and volunteerism through the innovative application of blockchain technology. Our mission is to create a more transparent, efficient, and inclusive global community within the philanthropic ecosystem by empowering donors, volunteers, non-profit organizations, and socially responsible corporations. Our platform leverages the power of blockchain to provide unparalleled transparency in donations, ensuring that donors can track the impact of their contributions. We also recognize and reward the efforts of volunteers through a secure and verifiable system. Furthermore, DeVO Protocol offers a suite of cutting-edge Web-3 powered corporate services, enabling businesses to engage in social good while simultaneously enhancing their brand reputation and reach. With a passionate team of visionaries and change-makers, DeVO Protocol aims to revolutionize the world of giving, driving positive change and creating a lasting impact for generations to come.","Blockchain and Cryptocurrency, Financial Services, Other, Social Impact, Software",,,11-50,,,,,,,,,,,,,Private,,,,,,
DarkStar Intelligence,https://www.crunchbase.com/organization/darkstar-intelligence,"Business Information Systems, Consulting, Government, Training","Alexandria, Virginia, United States",DarkStar Intelligence provides management services on a contract and fee basis.,"584,021","Washington DC Metro Area, East Coast, Southern US",$10M to $50M,Active,2015-01-01,year,,,,,For Profit,https://www.darkstarintel.com,"DarkStar Intelligence is a service disabled veteran-owned small business that offers advanced intelligence-based solutions to clients in the private and public sector. Their capabilities and personnel provide unique advantages to their customers. Their teams are comprised of subject matter experts in: research, investigations, operations, and training.","Education, Government and Military, Information Technology, Professional Services",,,51-100,,,,,,,,,,,,,Private,,,,,,
iSonic,https://www.crunchbase.com/organization/isonic,"Consumer Electronics, Machinery Manufacturing, Manufacturing","Chicago, Illinois, United States",iSonic is a manufactures and distributes ultrasonic cleaners.,"584,022","Greater Chicago Area, Great Lakes, Midwestern US",,Active,2010-03-02,day,,,,,For Profit,http://www.isonicinc.com,,"Consumer Electronics, Hardware, Manufacturing",,,1-10,,,,,,,,,,,,,Private,,,,,,
TNSS Global,https://www.crunchbase.com/organization/tnss-global,"Communications Infrastructure, Consulting, Network Hardware, Telecommunications, Wireless","Plano, Texas, United States","TNSS Global specializes in network support and design, telecom services, wireless, managed services and consulting services.","584,023","Dallas/Fort Worth Metroplex, Southern US",Less than $1M,Active,2010-01-01,year,,,,,For Profit,http://www.tnssglobal.com/,,"Hardware, Mobile, Professional Services",,,101-250,,,,,,,,,,,,,Private,,,,,,
Eclipse Engineering,https://www.crunchbase.com/organization/eclipse-engineering-c90f,"Civil Engineering, Commercial, Construction","Missoula, Montana, United States",Eclipse Engineering is a structural engineering firm that offers a wide range of construction services.,"584,024",Western US,$1M to $10M,Active,1998-01-01,year,,,,,For Profit,https://eclipse-engineering.com/,"Eclipse Engineering provides architects, contractors, retail design teams, specialty fabricators, timber framers, facility maintenance teams, school districts, United States government, alternative energy, mechanical contractors, and equipment suppliers with building design, material storage, product development, building information modeling, structural assessment, specialty structures, seismic evaluation, retrofit, and seismic anchorage. Eclipse Engineering is headquartered in Missoula, Montana and was founded in 1998.","Other, Real Estate, Science and Engineering",,,51-100,,,,,,,,,,,,,Private,,,,,,
Eagle Elevator Corporation,https://www.crunchbase.com/organization/eagle-elevator-corporation,"Industrial Engineering, Mechanical Engineering","Saint Paul, Minnesota, United States","Eagle Elevator Corporation provides Maintenance, Repair, Modernization and New Construction services.","584,026","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,Closed,1990-01-01,year,2021-03-02,day,,none,For Profit,http://www.eagleelevator.net/,"Eagle Elevator Corp. provides elevator services. It offers service contract, cab remodeling, custom installation, modernization, safety code update, ADA update, maintenance, and residential elevator installation services.","Manufacturing, Science and Engineering",1,Paul Nordenstrom,101-250,,M&A,,,,,,,,,,,Private,,,,,,
18F,https://www.crunchbase.com/organization/18f,"Facilities Support Services, Government, Information Technology","Washington, District of Columbia, United States",18F is a digital services agency built on the lean startup model based within the United States federal government.,"584,029","Washington DC Metro Area, Southern US",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://18f.gsa.gov,"18F is an office inside the General Services Administration's Technology Transformation Service that helps other federal agencies build, buy, and share efficient and easy-to-use digital services.","Administrative Services, Government and Military, Information Technology",,,10001+,,,,,,,,,,,,,Private,,,,,,
Lean IT,https://www.crunchbase.com/organization/lean-it-f17f,"Information Technology, SaaS, Software, Software Engineering","Henrico, North Carolina, United States",Lean IT is the best salesforce partner company in United States.,"584,032","East Coast, Southern US",,Active,2013-01-01,day,,,,,For Profit,https://leanitcorp.com/,"We help our clients to build Enterprise Applications. We offer a unified approach to Business, Data and Software modeling to deliver clear business results. We ease up your digital transformation journey through various platforms like Salesforce and Microsoft Azure. We work on multiple projects at a given time, giving us immense potential to learn and earn. Come join us in our journey!","Information Technology, Science and Engineering, Software",,,51-100,,,,,,,,,,,,,Private,,,,,,
The Center Orthopedic & Neurosurgical Care & Research,https://www.crunchbase.com/organization/the-center-orthopedic-neurosurgical-care-research,"Health Care, Hospital","Bend, Oregon, United States","The Center is a leader in the diagnosis and treatment of all musculoskeletal conditions, offering multiple specialties throughout Oregon.","584,033","West Coast, Western US",,Active,1954-01-01,year,,,,,For Profit,https://www.thecenteroregon.com/,,Health Care,,,251-500,,,,,,,,,,,,,Private,,,,,,
Glenn Harris & Associates,https://www.crunchbase.com/organization/glenn-harris-associates,"Commercial Insurance, Consulting, Insurance","Oklahoma City, Oklahoma, United States",Glenn Harris & Associates offers commercial and personal life insurance services.,"584,033",Southern US,$1M to $10M,Active,1987-01-01,year,,,,,For Profit,https://ghainsurance.com,,"Financial Services, Professional Services",,,11-50,,,,,,,,,,,,,Private,,,,,,
"Check My Universe, LLC",https://www.crunchbase.com/organization/check-my-universe-social-media-for-education,"Education, Information Technology, Internet, SaaS, Software","Dallas, Texas, United States","Software System, Development, SaaS in edtech industry, mobile app development across all verticals in education.","584,036","Dallas/Fort Worth Metroplex, Southern US",,Active,2019-09-01,month,,,,,For Profit,https://www.checkmyuniverse.com,"Software company. Information Technology Consulting Services Company. Apps development company. AI Machine learning Cybers security and full suite service for your software needs of start-up, small and medium businesses in the US, Australia, UK, Europe, UAE and more. Edtech and Saas consulting services. We respond in 24 hours for your software and consulting needs. Author: Make it Deliberate. Podcaster","Education, Information Technology, Internet Services, Software",2,"Mona Chowhan, Vishnu Agrawal",1-10,,,,,,,,,,,,,Private,,,,,,
Mandeville Films and Television,https://www.crunchbase.com/organization/mandeville-films-and-television,"Film Production, Media and Entertainment, TV Production","Burbank, California, United States",Mandeville Films and Television is a film production company.,"584,036","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1995-01-01,year,,,,,For Profit,https://www.mandfilms.com,"Mandeville Films and Television offers domestic box-office receipts, and their slate includes a wide variety of genres anchored by character-driven stories with universal, often uplifting themes. They draw attention to the fact that multiple checks have been issued to individuals by someone posing as a representative.","Media and Entertainment, Video",2,"David Hoberman, Todd Lieberman",11-50,,,,,,,,,,,,,Private,,,,,,
Ionization Labs,https://www.crunchbase.com/organization/ionization-labs,Software,"Austin, Texas, United States",Ionization Labs is an integrated proprietary software / UX combined with high quality analysis in analytical and QA/QC applications.,"584,037",Southern US,,Active,2016-01-01,year,,,,,For Profit,https://ionizationlabs.com,,Software,,,11-50,,,,,,,,,,,,,Private,,,,,,
Frame Machine,https://www.crunchbase.com/organization/frame-machine,"Animation, Gaming, Graphic Design, Information Technology","Santa Monica, California, United States","Frame Machine is a creative development studio that specializes in design, animation, and visual effects.","584,040","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://www.framemachine.tv,,"Design, Gaming, Information Technology, Media and Entertainment, Video",,,51-100,,,,,,,,,,,,,Private,,,,,,
SR Construction,https://www.crunchbase.com/organization/sr-construction-inc,Real Estate,"Las Vegas, Nevada, United States",SR Construction is a construction company specializing in design build and construction management services.,"584,041",Western US,$10M to $50M,Active,1991-01-01,year,,,,,For Profit,http://srbuilt-usa.com,,Real Estate,,,11-50,,,,,,,,,,,,,Private,,,,,,
Extendicare Health and Rehabilitation Center,https://www.crunchbase.com/organization/extendicare-health-and-rehabilitation-center,"Elder Care, Health Care, Retirement","Dothan, Alabama, United States","Extendicare Health and Rehabilitation Center offers senior rehabilitation, assisted living and long-term care services.","584,042",Southern US,$1M to $10M,Active,1920-01-01,year,,,,,For Profit,https://www.extendicarehealth.com,,"Community and Lifestyle, Health Care, Other",1,David Dennis,11-50,,,,,,,,,,,,,Private,,,,,,
District Management Group,https://www.crunchbase.com/organization/district-management-group,,"Boston, Massachusetts, United States","It combines the most effective education best practices with proven management techniques to produce measurable, sustainable improvements.","584,045","Greater Boston Area, East Coast, New England",,Active,2004-01-01,year,,,,,For Profit,http://www.dmgroupK12.com,,,,,,,,,,,,,,,,,,Private,,,,,,
Alpan Lighting Products,https://www.crunchbase.com/organization/alpan-lighting-products,"Manufacturing, Plastics and Rubber Manufacturing, Solar","Camarillo, California, United States","Alpan Lighting Products, design, development, and manufacture of solar lights for residential settings.","584,046","Greater Los Angeles Area, West Coast, Western US",$1M to $10M,Active,1999-01-01,year,,,,,For Profit,https://www.alpan.com/,"Alpan Lighting Products manufactures solar lights, provide products that include plastic, aluminum and stainless steel solar, low voltage lights, outdoor post lamps, and batteries.","Energy, Manufacturing, Natural Resources, Sustainability",,,11-50,,,,,,,,,,,,,Private,,,,,,
Harrison Beverage,https://www.crunchbase.com/organization/harrison-beverage,"Food and Beverage, Wholesale, Wine And Spirits","Egg Harbor Township, New Jersey, United States",Harrison Beverage is a distributor of alcoholic and non-alcoholic beverages.,"584,049","East Coast, Northeastern US",$1M to $10M,Active,1956-01-01,year,,,,,For Profit,http://harrisonbeverage.com,"Harrison Beverage sells and distributes beer, wine, spirits, and non-alcoholic beverages for bars, restaurants, and liquor stores. They address inquiries through phone, email, and online applications.","Commerce and Shopping, Food and Beverage",,,11-50,,,,,,,,,,,,,Private,,,,,,
ATC Transportation,https://www.crunchbase.com/organization/atc-transportation,"Financial Services, Transportation","Pleasant Prairie, Wisconsin, United States",ATC Transportation is a transportation company specializing in accounting and finance services.,"584,051","Greater Chicago Area, Great Lakes, Midwestern US",Less than $1M,Active,1994-01-01,year,,,,,For Profit,http://atctransportation.com,,"Financial Services, Transportation",,,101-250,,,,,,,,,,,,,Private,,,,,,
MetroDerm,https://www.crunchbase.com/organization/metroderm,"Child Care, Cosmetic Surgery, Health Care, Hospital, Personal Health","Atlanta, Georgia, United States","MetroDerm provides dermatology, plastic surgery, and cosmetic treatment services.","584,052","Greater Atlanta Area, East Coast, Southern US",$10M to $50M,Active,2003-01-01,year,,,,,For Profit,https://metroderm.org,"MetroDerm is a skin care service provider. They provide medical dermatology, cosmetic dermatology, plastic surgery, cosmetic treatment, dermatopathology, mohs surgery, pediatric dermatology, spa, skin cancer, and vein treatments services. They address inquiries through phone, and online applications.",Health Care,,,101-250,,,,,,,,,,,,,Private,,,,,,
Managing Director at the RockCreek Group,https://www.crunchbase.com/organization/new-york-state-common-retirement-fund,"Financial Services, Venture Capital, Virtualization","Albany, New York, United States",Tyson Pratcher brings a decade of specialized business experience to his current position as Managing Director at the RockCreek Group.,"584,053","East Coast, Northeastern US",,Active,1983-01-01,year,,,,,For Profit,https://www.startus.cc/people/tyson_pratcher,"Tyson Pratcher brings a decade of specialized business experience to his current position as Managing Director at the RockCreek Group. His financial intelligence and financial acumen has earned him notable mentions as Institutional Investor 2017 Hedge Fund Rising Star, City & State New York Magazine 40 under 40. He has worked around the world, supervising teams in New York, London, and Bahrain, and managing portfolios of $10 billion dollars.  Tyson has also worked extensively in politics, most notably as Deputy Chief of staff for Hilary Rodham Clinton from 2003-2006.","Financial Services, Hardware, Information Technology, Lending and Investments, Software",,,,,,,,,,,,,,,,Private,,,,,,
Red Wagon Growth Marketing Agency,https://www.crunchbase.com/organization/red-wagon,"Advertising, Digital Marketing, Internet Radio","Tempe, Arizona, United States","Red Wagon is a digital advertising company that specializes in Paid Media, Demand Generation, SEO, Email and other  marketing services.","584,055","Greater Phoenix Area, Western US",$1M to $10M,Active,2015-01-01,day,,,,,For Profit,https://www.redwagon.agency/,,"Advertising, Media and Entertainment, Music and Audio, Sales and Marketing",1,Joseph Whyte,1-10,,,,,,,,,,,,,Private,,,,,,
TreeScapes & PlantWorks,https://www.crunchbase.com/organization/treescapes-plantworks,"Home and Garden, Home Decor, Landscaping, Manufacturing","San Marcos, California, United States","TreeScapes and PlantWorks provides preserved, fabricated, and reproduction trees and plants.","584,056","Greater San Diego Area, West Coast, Western US",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://treescapes.com,"TreeScapes and PlantWorks offer quality preserved, manufactured, and reproduced horticultural items. TreeScapes and PlantWorks provide quality horticultural design and decoration elements. Many of the admired trees and horticultural displays gracing casinos, hotels, shopping malls, office buildings, and restaurants are created by them.","Manufacturing, Real Estate",,,11-50,,,,,,,,,,,,,Private,,,,,,
Synergy Dental Partners,https://www.crunchbase.com/organization/synergy-dental-partners,"Health Care, Hospital","Charlotte, North Carolina, United States",Synergy Dental Partners is a dental buying group.,"584,058","East Coast, Southern US",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,https://thesynergydentalpartners.com,"Synergy Dental Partners is a dental buying group founded on the concept of leveraging the purchasing power of independent dental practices to negotiate discounts on supplies and products needed in the dental field. If you are looking to buy dental supplies Synergy can help. Synergy has used this purchasing power to negotiate contracts with suppliers throughout the dental industry. For example, Synergy negotiated a contract with Darby Dental Supply, that results in an average discount of 17% on consumable purchases for their members.",Health Care,,,1-10,,,,,,,,,,,,,Private,,,,,,
Magruder Eye Institute,https://www.crunchbase.com/organization/magruder-eye-institute,"Health Care, Hospital, Medical, Personal Health","Orlando, Florida, United States",Magruder Eye Institute provides medical services on eye care.,"584,059","East Coast, Southern US",,Active,1973-01-01,year,,,,,For Profit,https://www.magrudereye.com/,"Magruder Eye Institute provides medical services on eye care. It houses eye doctors and surgeons that focuses on various eye-related conditions. Magruder Eye Institute is based in Florida, USA.",Health Care,,,1-10,,,,,,,,,,,,,Private,,,,,,
Big Time Bats,https://www.crunchbase.com/organization/big-time-bats,"E-Commerce, Retail, Sporting Goods","Crystal Lake, Illinois, United States","Big Time Bats is a sporting goods company that sells splash bats, satin bats, and baseballs.","584,059","Greater Chicago Area, Great Lakes, Midwestern US",$1M to $10M,Active,1999-01-01,year,,,,,For Profit,https://bigtimebats.com,,"Commerce and Shopping, Sports",,,11-50,,,,,,,,,,,,,Private,,,,,,
Salt Lake City Government,https://www.crunchbase.com/organization/salt-lake-city-government,"Government, Non Profit, Social Assistance","Salt Lake City, Utah, United States",Salt Lake City Government is a civic body that overlooks the administrative and business services of the city.,"584,061",Western US,$100M to $500M,Active,1847-01-01,year,,,,,Non-profit,https://www.slc.gov,,"Government and Military, Other, Social Impact",1,Brigham Young,1001-5000,,,,,,,,,,,,,Private,,,,,,
Progressive Promotions,https://www.crunchbase.com/organization/progressive-promotions,"Advertising, Apparel, Brand Marketing, Event Promotion","Englewood, New Jersey, United States","Progressive Promotions marketing agency that offers corporate apparel, promotional products, events, merchandising, and brand management.","584,065","Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,2009-01-01,day,2021-02-03,day,,,For Profit,http://www.progressivepromotions.com,"Progressive Promotions is an award-winning global promotional merchandise agency that provides programs that generate strong, measurable results and support clients' brands and growth objectives via high touch customer service and e-commerce solutions.","Advertising, Clothing and Apparel, Events, Media and Entertainment, Sales and Marketing",,,11-50,,M&A,,,,,,,,,,,Private,,,,,,
RideSafely.com,https://www.crunchbase.com/organization/ridesafely-com,"Automotive, E-Commerce","Feasterville Trevose, Pennsylvania, United States",We sell salvage vehicles from ALL states in the U.S to the public. We are brokering platform.,"584,072","Greater Philadelphia Area, Great Lakes, Northeastern US",$10M to $50M,Active,2002-01-01,year,,,,,For Profit,http://www.ridesafely.com,"Since 2002, RideSafely has been the consumer's choice for purchasing vehicles at prices that have traditionally only been available to wholesale auto dealers. RideSafely brings you the greatest selection of clean and salvage vehicles DIRECTLY from car auctions in the U.S. and abroad. By consolidating vehicles from hundreds of car auctions on one site, their car finder makes it easy for you to locate the best deals on used cars; premium, low end, slightly damaged and rebuildable vehicles. At RideSafely, it's easy to become a member and to begin a car buying experience that is traditionally only available to licensed, wholesale auto dealers. You will be amazed with the car deals and savings when buying WHOLESALE. Their car finder offers you a huge selection of vehicles including cars, trucks, SUVs, motorcycles, ATVs, boats, tractor trailers and more. RideSafely is YOUR wholesale auto broker who walks you through the buying experience and assists with every step of the transaction from bidding to vehicle delivery. Consumers, auto body shops, auto garages, salvage yards, trucking companies, auto glass and muffler shops are just some examples of car-buying customers who typically would not be eligible to buy from these wholesale auto auctions without the assistance of RideSafely. They bring these great car deals to their members. They offer their members: • The largest selection of vehicles. Each week, they list more than 50,000 fresh car auction listings. Their site represents 700+ car auction locations in the United States and abroad. Their car finder enables you to sort through thei massive inventory of used cars and quickly locate your vehicle of choice. • Used cars at wholesale auto prices. Their site enables consumers to participate in wholesale auto auctions and to purchase vehicles from various insurance companies, banks, leasing companies, wholesalers, fleets and car dealers at wholesale prices. • No dealer license required to get great car deals. Because the automotive industry is heavily regulated to protect the wholesale marketplace for car dealers, only licensed car dealers are qualified to attend wholesale auto auctions. Their site extends that capability beyond licensed car dealers and licensed vehicle recyclers to all consumers. That is how they provide their members with the best car deals. • Technology you can trust. RideSafely's vehicle brokerage service is utilized by more than 700,000 valued members. Their trusted platform allows RideSafely to sustain leading positions in the market. Since 2007, RideSafely is continuously listed among the Top 500 fastest growing companies in the USA. With international centers and representatives in Canada, Germany, Russia and United Arab Emirates, RideSafely's brokerage service is recognized all over the world. • Best-in-Class customer service. Their multi-lingual (English, Spanish, Russian, German, Arabic) customer service representatives are dedicated to providing you with a top-notch buying experience. • Transportation services. To meet the needs of their members globally, they offer competitive transportation services domestically, internationally and to most major seaports around the world; with one click, you will get an INSTANT and GUARANTEED quote!","Commerce and Shopping, Transportation",1,Max Repik,51-100,,,,,,,,,,,,,Private,,,,,,
Trade Risk Guaranty Brokerage Services LLC,https://www.crunchbase.com/organization/trade-risk-guaranty-brokerage-services-llc,Government,"Bozeman, Montana, United States","Insurance Agency, U.S. Customs Bonds & Cargo Insurance","584,073",Western US,$1M to $10M,Active,1991-11-01,day,,,,,For Profit,http://www.traderiskguaranty.com,,Government and Military,1,John Michel,51-100,,,,,,,,,,,,,Private,,,,,,
Lerch Early & Brewer,https://www.crunchbase.com/organization/lerch-early-brewer,"Consulting, Legal, Professional Services","Bethesda, Maryland, United States","Lerch Early & Brewer focuses on providing legal services, estate planning, litigation, tax and advisory to individuals and businesses.","584,075","Washington DC Metro Area, East Coast, Southern US",$10M to $50M,Active,1950-01-01,year,,,,,For Profit,https://www.lerchearly.com/,,"Other, Professional Services",,,101-250,,,,,,,,,,,,,Private,,,,,,
