Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Goldtouch,https://www.crunchbase.com/organization/goldtouch,"Computer, Hardware","Cedar Park, Texas, United States","Goldtouch is the creator of custom-comfort ergonomic technology products, including keyboards, mice, & accessories for a computer.","584,577",Southern US,$10M to $50M,Active,1998-01-01,year,,,,,For Profit,https://www.goldtouch.com/,,"Consumer Electronics, Hardware",,,11-50,,,,,,,,,,,,,Private,,,,,,
Pension Investors Corporation,https://www.crunchbase.com/organization/pension-investors-corporation,"Consulting, Financial Services, Retirement, Wealth Management","Altamonte Springs, Florida, United States",Pension Investors Corporation provides retirement planning services.,"584,580","East Coast, Southern US",$1M to $10M,Active,1982-01-01,day,2019-12-01,month,,,For Profit,https://www.picorl.com/,,"Community and Lifestyle, Financial Services, Other, Professional Services",,,1-10,,M&A,,,,,,,,,,,Private,,,,,,
Roast Umber,https://www.crunchbase.com/organization/roast-umber,"Coffee, Food and Beverage, Food Processing, Wholesale","Grand Rapids, Michigan, United States",Roast Umber is a wholesaler and supplier company of coffee.,"584,584","Great Lakes, Midwestern US",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.roastumber.com,,"Commerce and Shopping, Food and Beverage",,,1-10,,,,,,,,,,,,,Private,,,,,,
Clover Group,https://www.crunchbase.com/organization/clover-group-664d,"Elderly, Property Development, Property Management, Real Estate","Buffalo, New York, United States","Clover Group offers affordable living options, safety, property management, and development for seniors and multifamily.","584,586","Great Lakes, East Coast, Northeastern US",$10M to $50M,Active,1987-01-01,year,,,,,For Profit,https://clovergroupinc.com/,,"Community and Lifestyle, Real Estate",,,101-250,,,,,,,,,,,,,Private,,,,,,
HCI TV,https://www.crunchbase.com/organization/hci-tv,"Health Care, Information Technology","Loveland, Ohio, United States",HCI TV has been building patient engagement and entertainment systems for more than four decades.,"584,588","Great Lakes, Midwestern US",$1M to $10M,Active,1971-01-01,day,,,,,For Profit,https://www.hci-tv.com/,,"Health Care, Information Technology",,,11-50,,,,,,,,,,,,,Private,,,,,,
Nova-Tech,https://www.crunchbase.com/organization/nova-tech-dbeb,"Health Care, Manufacturing, Pharmaceutical","Grand Island, Nebraska, United States",Nova-Tech specializes in manufacturing sterile animal health pharmaceutical products.,"584,590",Midwestern US,$1M to $10M,Active,1988-01-01,year,,,,,For Profit,https://novatech-inc.com,,"Health Care, Manufacturing",,,51-100,,,,,,,,,,,,,Private,,,,,,
Designer Appliances,https://www.crunchbase.com/organization/designer-appliances,"Furniture, Home Improvement","Bedminster, New Jersey, United States",Designer Appliances is the home of quality indoor & outdoor appliances.,"584,591","Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2008-01-01,day,,,,,For Profit,https://www.designerappliances.com/,,"Consumer Goods, Real Estate",1,John Carey,11-50,,,,,,,,,,,,,Private,,,,,,
xRas Therapeutics,https://www.crunchbase.com/organization/xras-therapeutics,"Biotechnology, Health Care, Medical","San Francisco, California, United States",xRas Therapeutics organizes antibodies capable of identifying and blocking the downstream signaling of Ras oncoprotein that causes cancer.,"584,595","San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.xrastherapeutics.com/,,"Biotechnology, Health Care, Science and Engineering",2,"Anthony Baldor, Paul Stephen Marinec",1-10,,,,,,,,,,,,,Private,,,,,,
Motorists Insurance Group,https://www.crunchbase.com/organization/motorists-insurance-group-2,"Information Technology, Insurance","Columbus, Ohio, United States",Motorists Insurance Group is a company that provides insurance solutions.,"584,601","Great Lakes, Midwestern US",$100M to $500M,Active,1928-01-01,year,,,,,For Profit,http://www.motoristsinsurancegroup.com,,"Financial Services, Information Technology",,,1001-5000,,,,,,,,,,,,1,Private,,,,,,
Westford Academy,https://www.crunchbase.com/organization/westford-public-school,"Education, Primary Education, Secondary Education","Westford, Massachusetts, United States",Westford Academy provides primary and secondary education to the students.,"584,605","Greater Boston Area, East Coast, New England",$10M to $50M,Active,1792-01-01,year,,,,,For Profit,https://www.westfordk12.us/wa,"tWestford Public School ,the school committee in each city and town and each regional school district shall have the power to select and to terminate the superintendent, shall review and approve budgets for public education in the district, and shall establish educational goals and policies for the schools in the district consistent with the requirements of law and statewide goals and standards established by the board of education.",Education,,,51-100,,,,,,,,,,,,,Private,,,,,,
