Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
The Custom Movement,https://www.crunchbase.com/organization/hotline-2,Messaging,"Petaling Jaya, Selangor, Malaysia",The Custom Movement is a Messaging and getting exclusive updates from the celebrities you love startup.,"135,700",Active,2000-01-01,year,,,,,For Profit,https://www.thecustommovement.com/,Message and get exclusive updates from the celebrities you love. Subscribe to your favorite accounts and never miss a thing.,Seed,150000,USD,150000
MAVCAP,https://www.crunchbase.com/organization/mavcap,Financial Services,"Kuala Lumpur, Kuala Lumpur, Malaysia",Malaysia Venture Capital Management Berhad is a venture capital company that makes investments in the ICT sector.,"146,695",Active,2001-01-01,year,,,,,For Profit,http://www.mavcap.com,Malaysia Venture Capital Management Berhad (MAVCAP) is the country’s largest venture capital (VC) company with investments in the ICT sector and other high-growth industries.,,,,
Exabytes,https://www.crunchbase.com/organization/exabytes,"E-Commerce, Email Marketing, Internet, Search Engine, Web Hosting","Penang, Pulau Pinang, Malaysia",Exabytes Group is a leading web and eCommerce hosting provider that was founded on the principle of providing the best hosting solutions.,"173,111",Active,2001-01-01,year,,,,,For Profit,https://www.exabytes.my,"Exabytes Group is a leading web and eCommerce hosting provider that was founded on the principle of providing the best hosting solutions to its customers. A fast growing IT establishment founded in 2001, the story behind “Exabytes” as company’s official name took place when CEO, Chan Kee Siak acknowledged the existence of a well-known company that went with the name of “Gigabytes”. Sounds like a BIG organization, isn’t it? But being the visionary and competitive person that he is, Chan is determined to be even BIGGER and better than them, and so, the idea of naming the company “Exabytes” kicked in. At Exabytes, they place Customer Service as their Top Priority in line with their commitment to provide the best and friendliest services to their customers.",Early Stage Venture,,USD,
Gobi Partners,https://www.crunchbase.com/organization/gobi-partners,"Finance, Financial Services, Venture Capital","Kuala Lumpur, Kuala Lumpur, Malaysia","Gobi Partners is the most interconnected Pan-Asian venture capital firm across North Asia, South Asia, and ASEAN.","191,433",Active,2002-01-01,year,,,,,For Profit,https://www.gobi.vc/,"Gobi Partners is the most interconnected Pan-Asian venture capital firm with US$1.5 billion in assets under management (AUM). Headquartered in Kuala Lumpur and Hong Kong, the firm supports entrepreneurs from the early to growth stages and focuses on emerging and underserved markets. Founded in 2002, Gobi has raised 15 funds to date, invested in over 350 startups and nurtured 10 unicorns. Gobi has grown to 15 locations across key markets in Bangkok, Beijing, Cairo, Guangzhou, Ho Chi Minh City, Hong Kong, Jakarta, Karachi, Kuala Lumpur, Lahore, Manila, Shanghai, Shenzhen, Singapore and Surabaya. As a Participant of the United Nations Global Compact, Gobi Partners is committed to aligning strategies and operations with universal principles on human rights, labour, environment and anti-corruption to ensure long-term value creation and sustainability across our portfolio.",,,,
Sime Darby Plantation,https://www.crunchbase.com/organization/sime-darby-plantation,"Agriculture, Oil and Gas","Petaling Jaya, Selangor, Malaysia",Sime Darby Plantation is the plantation and agri-business arm of the Sime Darby Group.,"201,208",Active,2004-01-01,year,,,,,For Profit,http://www.simedarbyplantation.com,"Sime Darby Plantation is the plantation and agri-business arm of the Sime Darby Group, representing one of the five core divisions of the group. The Division is involved in oil palm and rubber plantation management, cultivation and downstream activities, agribusiness and food, as well as research and development (R&D).",,,,
Maestro Swiss,https://www.crunchbase.com/organization/maestro-swiss,"Confectionery, Food and Beverage, Food Processing","Butterworth, Pulau Pinang, Malaysia","Maestro Swiss is a manufacturer and distributor of chocolate products, chocolate malt powder, drinks, and confectionery.","208,990",Active,2000-01-01,year,,,,,For Profit,https://www.maestroswiss.com,"Maestro Swiss Industries Sdn. Bhd. is a company that specializes in the manufacturing sector. The company is known for its involvement in the fast-moving consumer goods (FMCG) sector, particularly in the food and beverage industry. The company's product portfolio includes a variety of brands such as Vico, Vochelle, Darry's, and Vicako. In addition to its own brands, Maestro Swiss also offers private label services. The company is committed to maintaining robust privacy protections for its users, as outlined in its Privacy Policy.",,,,
Plenitude,https://www.crunchbase.com/organization/plenitude,"Hospitality, Property Development","Kuala Lumpur, Kuala Lumpur, Malaysia","Plenitude is a public listed company with core interests in property development, hospitality, and property investment.","210,012",Active,2000-01-01,day,2003-11-01,day,,,For Profit,https://www.plenitude.com.my/,Plenitude is a real estate investment company. They offer properties for both residential and commercial purposes to their customers. It also provides leasing opportunities for both commercial and residential properties.,IPO,,,
OSK Ventures International,https://www.crunchbase.com/organization/osk-ventures-international,"Financial Services, Venture Capital","Kuala Lumpur, Kuala Lumpur, Malaysia",OSK Ventures International invests in established companies with regional presence and companies that are in their mid-late stage.,"210,386",Active,2000-01-01,year,,,,,For Profit,http://www.oskvi.com/,"OSKVI was established in year 2000 and is the venture capital and private equity affiliate of OSK Holdings Berhad. OSKVI was listed on the then Malaysia Exchange of Securities Dealing and Automated Quotation Market (“MESDAQ Market”) (now known as the ACE Market) of Bursa Malaysia Securities Berhad (“Bursa Securities”) on  8 September 2004. The OSKVI Group has an established presence in the private equity and venture capital industry in the region. Since inception, they have successfully invested, nurtured and divested several companies from various industries.",,,,
Media Prima Berhad,https://www.crunchbase.com/organization/media-prima,"Broadcasting, Digital Media, E-Commerce, Media and Entertainment","Kuala Lumpur, Kuala Lumpur, Malaysia",Media Prima Berhad provides digital media services.,"225,986",Active,2003-09-23,day,2005-04-08,day,,,For Profit,http://www.mediaprima.com.my,"Media Prima Berhad (“Media Prima” or “The Group”) is the leading fully-integrated media company in Malaysia. With a complete repertoire of media-related businesses including in Television, Print, Radio, Out-of-Home, as well as Content and Digital Media, Media Prima, which is listed on the Main Board of Bursa Malaysia, is also one of Malaysia’s Top 100 largest listed companies by revenue. In addition to having equity interests in Malaysia’s leading free-to-air television stations namely TV3, 8TV, ntv7 and TV9, the Group also owns more than 98 percent of The New Straits Times Press (Malaysia) Berhad (NSTP), Malaysia’s largest publisher with three national newspapers; New Straits Times, BH and Harian Metro. Through its digital media subsidiary, Media Prima Digital embraces technical innovation, digital solutions and creative strategies. It offers a holistic digital consultancy which encompasses creative solutions, diversified platform services and e-commerce expertise. Media Prima Labs meanwhile, is a unit under Media Prima Digital to further extend the Group’s unique intellectual properties into the expanse of tech innovation and games. tonton is Malaysia’s #1 video streaming portal offering FREE, advertising-supported content (AVOD) with over 5.6 million registered users and a growth of 22,000 registrants on a weekly basis. Its vision is to be the #1 SVOD and home of best content for Malaysians whereas its mission is to be the no. 1 online video site, a must have service for every Malaysian and Malaysian home, to be available everywhere and to prevent piracy. Meanwhile, Media Prima CJ O Shopping Sdn. Bhd. is a media commerce company, which operates home shopping business in Malaysia called CJ WOW SHOP through various platforms such as television, electronic-commerce and mobile commerce. In Radio, the Group is represented by four very popular radio stations namely Fly FM, Hot FM, one FM and Kool FM. Media Prima is also a market leader in Out-of-Home Advertising, represented by Big Tree Outdoor Sdn. Bhd., The Right Channel Sdn. Bhd., Kurnia Outdoor Sdn. Bhd., Gotcha and UPD Sdn. Bhd. The Group also owns a content creation subsidiary, Primeworks Studios Sdn Bhd. It is today Malaysia’s largest production company, producing TV content and feature films since 1984 and 1994 respectively.",IPO,,,
Finexus Group,https://www.crunchbase.com/organization/finexus-group,"Finance, Financial Services, Information Services","Kuala Lumpur, Kuala Lumpur, Malaysia",Finexus Group provides technology and financial services.,"227,329",Active,2000-01-01,day,,,,,For Profit,https://www.finexusgroup.com/,,,,,
