Year,Mauritius,Mexico,Moldova,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Serbia,Singapore,Slovakia
2013,1.259838,118.832937,2.869302,3.557634,2.930277,,32.95,24.366112,51.852464,,16.829289,4.4774,173.876409,2.065769,5.109056,3.855206,,,6.55902714,30.814175,,38.495659,10.444092,,19.953089,143.666931,,,,5.415949
2014,,,,,,0.62181,,,,,,,,,,,188.02,3.913275,,,,,,2.21618,,,28.309273,7.131787,5.469724,
2014,,,,,,,,,,27.58208247,,,,,,,,,,,,,,,,,,,,
2014,1.261721,120.358919,2.846327,3.555159,2.995949,,33.304,25.041922,52.280816,,16.900726,4.5644,178.605318,2.069172,5.165802,3.992893,,,6.657232,31.151643,,38.478602,10.395121,,19.875542,146.267288,,,,5.421349
2015,,,,,,0.622159,,,,,,,,,,,191.71,3.975404,,,,,,2.43779,,,29.816382,7.095383,5.535002,
2015,,,,,,,,,,27.95444058,,,,,,,,,,,,,,,,,,,,
2015,1.262862,121.734816,2.825628,3.553056,3.057778,,34.12487,25.727911,52.680724,,16.97912,4.6637,187.301926,2.071278,5.213985,4.159102,,,6.75575599,31.488625,100.979303,38.437239,10.368554,,19.760585,146.54471,,,,5.426252
2016,,,,,,0.622303,,,,,,,,,,,198.79,4.037043,,,,,,2.617634,,,30.954198,7.058322,5.607283,
2016,,,,,,,,,,27.62978374,,,,,,,,,,,,,,,,,,,,
2016,1.26382,122.998711,2.780744,3.550852,3.119935,,34.486536,26.423623,53.045199,,17.081507,4.7676,193.392517,2.073702,5.258317,4.414051,,,6.85453575,31.826018,,38.432992,10.344478,,19.643949,146.804372,,,,5.435343
2017,,,,,,0.622373,,,,,,,,,,,207.68,4.098135,,,,,,2.54582,,,30.977355,7.020858,5.612253,
2017,,,,,,,,,,27.88342515,,,,,,,,,,,,,,,,,,,,
2017,1.265309,124.172611,2.729634,3.547539,3.177899,,34.852121,27.864265,53.382521,,17.181084,4.8595,199.681159,2.075301,5.295619,4.559963,,,6.95364603,32.162184,,38.433558,10.33577,,19.533481,146.87708775,,,,5.44312
2018,,,,,,0.622227,,,,,,,,,,,211.82,4.158783,,,,,,2.580734,,,30.196281,6.982604,5.638676,
2018,,,,,,,,,,28.139395,,,,,,,,,,,,,,,,,,,,
2018,1.265637,125.378294,2.684772,3.542708,3.238479,,35.219547,28.58572,53.708318,,17.282163,4.9412,196.042933,2.077132,5.328212,4.601706,,,7.0529832,32.49551,,38.411148,10.333496,,19.425873,146.78072,,,,5.450421
2019,,,,,,0.622028,,,,,,,,,,,216.08,4.218808,,,,,,2.638657,,,30.063799,6.945235,5.703569,
2019,,,,,,,,,,28.39771464,,,,,,,,,,,,,,,,,,,,
2019,1.265475,126.609909,2.643675,,3.296866,,35.587,29.318301,54.045422,,17.407585,5.0404,201.135262,2.076255,5.36758,4.617927,,,7.15270273,32.824358,,38.382576,10.375395,,19.354339,146.74859,,,,5.457873
2020,,,,,,0.621306,,,,,,,,,,,220.4,4.2785,,,,,,2.794148,,,31.55251,6.899126,5.685807,
2020,,,,,,,,,,28.65840566,,,,,,,,,,,,,,,,,,,,
2020,1.26603,127.817992,2.626585,,3.357542,,35.951552,30.066648,54.409794,,17.475415,5.1037,206.283338,2.068808,5.391369,4.481042,,,7.25267197,33.149016,109.033245,38.089,10.394297,,19.229519,146.171015,,,,5.459781
2021,,,,,,0.619211,,,,,,,,,,,224.78,4.337406,,,,,,2.50491,,,30.784383,6.834326,5.453566,
2021,,,,,,,,,,28.92148983,,,,,,,,,,,,,,,,,,,,
2021,1.263888,128.600339,2.56503,,3.409939,,36.313189,30.832244,,,17.590672,5.1165,211.493324,1.834085,5.42527,4.527446,,,7.35303821,33.470569,,37.908,10.421117,,19.042455,145.557576,,,,5.434712
2022,,,,,,0.617213,,,,,,,,,,,229.22,4.395414,,,,,,2.657333,,,32.175224,6.664449,5.637022,
2022,,,,,,,,,,29.1869891,,,,,,,,,,,,,,,,,,,,
2022,1.261196,129.365552,2.512758,,3.457548,,,31.616078,,,17.811291,5.1591,216.783381,1.829954,5.488984,4.93385,,,7.45369478,33.788589,,37.766,,,19.054548,146.447424,,,,5.428792
2023,,,,,,,,,,,,,,,,,,4.452823,,,,,,2.656032,,,,,5.917648,
2023,,,,,,,,,,29.45726062,,,,,,,,,,,,,,,,,,,,
2023,,130.555656,,,,,,32.419747,,,,,,,,5.165602,,,7.5547959,,,,,,,146.203613,,,,
