Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
ImmunoScape,https://www.crunchbase.com/organization/immunoscape,"Biotechnology, Life Science, Medical","Singapore, Central Region, Singapore",ImmunoScape offers a tech platform that allows profiling and characterization of the human immune response.,"13,835",Active,2016-01-01,year,,,,,For Profit,https://immunoscape.com/,"ImmunoScape is an immunomics-focused company with a technology platform that allows for immune profiling and characterization of the human immune response at extremely high resolution. The company’s Deep Immunomics platform combines mass cytometry, single cell sequencing, and proprietary computational bioinformatics, data analysis, and visualization tools to provide novel, reproducible immune profiling information. This technology has been utilized across multiple therapeutic areas, especially in oncology and infectious disease, both to better understand immunotherapy safety and efficacy and to identify drug targets.",,42038509,USD,42038509
Nalagenetics,https://www.crunchbase.com/organization/nalagenetics,"Biotechnology, Health Care, Medical","Singapore, Central Region, Singapore",Nalagenetics is a biotechnology company that provides genetic testing services.,"17,310",Active,2016-01-01,year,,,,,For Profit,https://nalagenetics.com/,"Nalagenetics is a health-tech company that provides genetic testing. In 2016, the company collaborated with the Indonesian health ministry to distribute 1,000 genetic test kits in five villages in Papua and West Papua. The company's tests revealed that 20% of leprosy patients in the area carry the gene responsible for potentially fatal reactions to Dapsone, an anti-leprosy medication; this discovery assisted doctors in determining which patients could be safely treated with the antibiotic.",Early Stage Venture,13600000,USD,13600000
RPG Commerce,https://www.crunchbase.com/organization/rpg-commerce,"Consumer, E-Commerce, Retail","Singapore, Central Region, Singapore",RPG is an e-commerce firm building the next generation of global consumer brands by disrupting the retail industry.,"18,261",Active,2016-01-01,year,,,,,For Profit,https://www.rpg.ventures/,"RPG is an e-commerce firm building the next generation of global consumer brands by disrupting the retail industry. RPG Commerce's multi-brand business model operates and optimizes a global suite of direct-to-consumer (DTC) brands by owning the development, production, and delivery processes from start to finish. RPG Commerce is dedicated to providing customer-centric products and services by developing high-quality essential items through its DTC model and delivering them directly to their door.",Early Stage Venture,29000000,USD,29000000
Spark Systems,https://www.crunchbase.com/organization/spark-systems,"Financial Services, FinTech, Foreign Exchange Trading, Venture Capital","Singapore, Central Region, Singapore",Cutting edge system design and technology,"19,257",Active,2016-01-01,year,,,,,For Profit,http://www.sparksystems.sg/,"Spark Systems is an exciting new Fin-Tech startup funded by industry veterans, we are the first high tech solution provider for institutional forex trading that is originated in Asia. We aim to build world class FX trading platform to serve a growing Asia financial hub. As early member of the firm you will be involved from the very beginning of building something truly special, and will be duly rewarded with a fast-track career.",Early Stage Venture,22100000,SGD,15491291
Style Theory,https://www.crunchbase.com/organization/style-theory,"Fashion, Internet, Sharing Economy, Subscription Service","Singapore, Central Region, Singapore",Style Theory is a fashion rental subscription platform that provides economically sustainable fashion choices.,"21,074",Active,2016-01-01,year,,,,,For Profit,https://www.styletheory.co,"Style Theory is a fashion rental subscription platform that provides economically sustainable fashion choices. It operates through the Style Theory app, which members are required to download in order to access the service. The account registration process is straightforward and easily completed in a few clicks, with the provision of requisite standard account information such as the member’s address, mobile number, and credit card information. The platform is relatively easy to use, and keeps data such as the member’s body measurements, which allows the app to filter items available in a relevant size and provide a “score” on how well the item would fit. Style Theory was founded in 2016 by Chris Halim and Raena Lim.",Early Stage Venture,15000000,USD,15000000
HydroLeap,https://www.crunchbase.com/organization/hydroleap,"Manufacturing, Water, Water Purification","Singapore, Central Region, Singapore",Hydropleap provides advanced environmental-friendly technological water treatment solutions.,"22,424",Active,2016-01-01,year,,,,,For Profit,https://www.hydroleap.com/,Hydropleap provides advanced environmental-friendly technological water treatment solutions based on cutting-edge electrical processes.,Early Stage Venture,6292590,USD,6292590
Hmlet,https://www.crunchbase.com/organization/hmlet,"Hospitality, Property Development, PropTech, Rental, Social Network","Singapore, Central Region, Singapore",Hmlet is a co-living company that offers rooms and full apartments for young working professionals.,"23,237",Active,2016-01-01,month,2022-04-12,day,,,For Profit,http://www.hmlet.com/,"Hmlet is a co-living company that offers rooms and full apartments for young working professionals. It caters to international talent, helping them balance their lifestyles, finances, and natural desire to connect. The startup enables individuals to come together as a community to actively collaborate and contribute to a more purposeful life. Hmlet started out in 2016 in Singapore with locations in Tokyo, Hong Kong, Sydney, and soon Melbourne.",M&A,48000000,USD,48000000
Credolab,https://www.crunchbase.com/organization/credolab,"Big Data, Consumer Lending, Credit, Financial Services, FinTech, InsurTech","Singapore, Central Region, Singapore","Embedded Scoring from credolab - The confidence to say ""yes"".","24,575",Active,2016-01-01,month,,,,,For Profit,http://www.credolab.com,"Credolab is a growing B2B SaaS Fintech that develops bank-grade digital scorecards built on mobile devices and online web behavioural metadata. Our pay-per-use solutions are available to banks and neobanks, digital lenders and BNPL players, insurance companies, and any industry at the intersection with financial services (e-commerce, ride-hailing apps, travel, retailers). Credolab is the most innovative way to approve more customers more confidently. Established in 2016 in Singapore with offices in Miami, London and a distributed team across Sao Paulo, Mexico City, Dubai, Jakarta, Manila, Bangalore, Sydney, and Nairobi, credolab has 120+ clients including well-known fintech companies and unicorns, in over 30+ countries.",Early Stage Venture,8250000,USD,8250000
Zilliqa,https://www.crunchbase.com/organization/zilliqa,"Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Zilliqa is the high-throughput public blockchain platform - designed to scale to thousands ​of transactions per second.,"25,939",Active,2016-01-01,year,,,,,For Profit,https://www.zilliqa.com,"Zilliqa is the world's first high-throughput public blockchain platform - designed to scale to thousands ​of transactions per second. Zilliqa brings the theory of sharding to practice with its novel protocol that increases transaction rates as its network expands. The platform is tailored towards enabling secure data-driven decentralised apps, designed to meet the scaling requirements of machine learning and financial algorithms. ",Seed,1000000,USD,1000000
SDAX,https://www.crunchbase.com/organization/sdax,"Asset Management, Financial Services, FinTech, Trading Platform","Singapore, Central Region, Singapore",SDAX is a globally connected platform offering private markets investment opportunities.,"26,737",Active,2016-01-01,year,,,,,For Profit,https://www.sdax.co/,"Based in Singapore and regulated by the Monetary Authority of Singapore, SDAX is a globally connected, integrated digital financial services platform offering a comprehensive suite of investment opportunities for asset owners and investors to benefit from the world’s private markets. SDAX’s exchange platform offers opportunities to access exclusive investments from its ecosystem and secondary market trading via its digital asset exchange.    With SDAX, investors access curated investment opportunities across private equities, funds, real estate and alternatives which have passed SDAX’s rigorous due diligence process. SDAX connects markets through partnerships with participants in North America, the United Kingdom, Europe and the Asia Pacific region, delivering a seamless and efficient cross-border digital assets ecosystem for wealth creation.",Early Stage Venture,24000000,SGD,17591116
